CodCor,DesCor,DesCorAbr
"001","AZUL","AZU"
"002","AMARELO","AMA"
"003","VERMELHO","VRM"
"004","MARROM","MAR"
"005","PRETO","PRE"
"006","BRANCO","BRA"
"007","VERDE","VRD"
"008","LILAS","LIL"
"009","SALMON","SAL"
"010","ROXO","ROX"
"011","BEGE","BEG"
"012","ROSA","ROS"
"013","PINK","PIN"
"014","PISTACHE","PIS"
"015","MARFIN","MAF"
"016","CINZA","CIN"
"017","VINHO","VIN"
"018","JEANS","JEA"
"019","JEANS COLOR","JEC"
"020","TURQUESA","TUR"
"021","LARANJA","LAR"
"022","CAQUI","CAQ"
"023","PEROLA","PER"
"024","OCRE","OCR"
"025","VERDE LIMAO","VLI"
"026","CREME","CRE"
"027","FERRUGEM","FER"
"028","GELO","GEL"
"029","CRU","CRU"
"030","AZUL MARINHO","AZM"
"031","MOSTARDA","MOS"
"032","AREIA","ARE"
"033","AZUL BEBE","AZB"
"034","CASTANHO","CAS"
"035","BERINJELA","BER"
"036","GRAFITE","GRA"
"037","VERDE MUSGO","VMU"
"038","AZUL ROYAL","AZR"
"039","VIOLETA","VIO"
"040","PRATA","PRA"
"041","OURO","OUR"
"100","SEM COR",""
