CodDef,DesDef,DesDefAbr
"001","MANCHA BATON","MAN"
"002","DESCORADO","DES"
"003","COM PILLING","PIL"
"004","FURADO","FUR"
"005","RASGADO","RAS"
"006","DESCOSTURADO","DSC"
"007","BRILHO DE FERRO","BRI"
"008","MARCA DE FERRO","MAR"
"009","DOIS VINCOS","DVI"
"010","ESGARCADO","ESG"
"011","DESBOTADO","DEB"
"012","BOTAO QUEBRADO","BOQ"
"013","TECIDO GASTO","TEC"
"014","BOTAO FALTANDO","FBO"
"015","CERZIDO","CER"
"016","ENTRETELA ENRRUGADA","ENT"
"017","FIO PUXADO","FIP"
"018","MANCHA GUARDADO","MAN"
"019","MOFO/BOLOR","MOF"
"020","QUEIMADO DE CIGARRO","QUE"
"021","QUEIMADO DE SOL","QUE"
"022","MANCHA DE CANETA","MAN"
"023","ZIPER QUEBRADO","ZIP"
"024","TECIDO PUIDO","TEC"
"025","FORRO DESCOSTURADO","FOR"
"026","FALTA ADORNO","FAD"
"027","DESCASCADO","DEC"
"028","ALTA SUJIDADE","ASU"
"029","MANCHA MIGRACAO","MAN"
"030","MANCHA  S GARANTIA","MSG"
"031","EMBOLADO","EBL"
"032","MANCHA BARRO","MAN"
"033","MANCHA FERRUGEM","MAN"
"034","FRANJA TAP DESCOSTURADA","FRA"
"035","MANCHA AMARELADA","MAN"
"036","MANCHA SANGUE","MAN"
"037","MANCHA GRAXA","MAN"
"038","FORRO MANCHADO","FOR"
"039","FIBRA QUEBRADA","FIB"
"040","MANCHA VINHO","MAN"
"041","PEDRARIA SOLTA","PED"
"042","MANCHA  ALVEJANTE","MAN"
"043","COM PELO","COM"
"044","DIFERENCA TONALIDADE","DEF"
"045","BARRA DESFEITA","BAR"
"046","GOLA AMARELADA","GOL"
"047","AXILA AMARELADA","AXI"
"048","ESTRIAS NO TECIDO","EST"
"049","MANCHA GORDURA","MAN"
"050","MANCHA DESODORANTE","MAN"
"051","COM BOLINHAS","COM"
"052","COM FIVELA QUEBRADA","COM"
"053","COM FUROS","COM"
"054","COM MARCA DE FERRO","COM"
"055","CORTADO","COR"
"056","DEFORMADO","DEF"
"057","DESFIADO","DES"
"058","DESGASTADO","DES"
"059","FALTA BOTÃO","FAL"
"060","FALTA ILHOES","FAL"
"061","FORRO DESFIADO","FOR"
"062","FORRO ESGARÇADO","FOR"
"063","MANCHADO","MAN"
"064","SUJO","SUJ"
"065","TECIDO ESGARÇADO","TEC"
"066","TECIDO QUEIMADO","TEC"
"067","FALTA COCHETE","FAL"
"068","COM FURO",""
"069","FORRO APARECENDO",""
"070","TECIDO PARTE ENRRUGADA",""
"100","SEM DEFEITO",""
