CodSerLav,DesSerLav
"001","AJUSTE DE CINTURA"
"002","AJUSTE DE COS"
"003","AJUSTE DE MANGA"
"004","AJUSTE DE PERNAS"
"005","AJUSTE LATERAL"
"013","BARRA ITALIANA"
"017","BARRA TUBINHO"
"022","CONSERTOS DIVERSOS*"
"023","DIMINUIR OMBREIRA"
"024","DIMINUIR LARGU PUNHO"
"027","TROC ZIPER INVIS GDE"
"028","TROCAR  ELASTICO"
"029","TROCAR FORRO SIMPLES"
"030","TROCAR ZIPER"
"032","VIRAR COLARINHO"
"033","ABAIXAR COS"
"035","AJUSTE CANTO BOLSO"
"038","TROCAR BOTAO"
"040","DIMINUIR LARGURA"
"041","DIMINUIR COMPRIMENTO"
"042","BARRA"
"043","BARRA RODADA S FORRO"
"045","ENCURTAR MANGA"
"046","DIMINUIR LARGUR GODÊ"
"065","BARRA POR CIMA"
"067","ENCURTAR BARRA"
"068","COLOCAR ELASTICO"
"069","COLOCAR LASTEX"
"070","BARRA RODADA C FORRO"
"071","AJUSTE GERAL"
"072","ABRIR FENDA"
"073","AJUSTE DE OMBRO"
"074","AJUSTE VEST COM APLI"
"075","AJUSTE LAT C FORRO"
"076","AJUSTE DE GANCHO"
"077","DIMINUIR TAM CALCINH"
"078","AJUSTE SEM FORRO"
"079","AJUSTE COM FORRO"
"080","AJUSTE MANGA C FORRO"
"081","AJUSTE MANGA S FORRO"
"082","AJUSTE BOLSO"
"083","AJUSTE CINTA MODELAD"
"084","DIMINUIR ALCINHA"
"085","DIMINUIR BOJO"
"086","DIMINUIR COMP CINTO"
"087","SUBIR PUNHO"
"088","SUBIR PUNHO C ZIPER"
"089","COLOCAR PENCE"
"090","SUBIR ALCINHA ROLE"
"091","BAIXAR A CAVA"
"092","SUBIR ALÇA NADADOR"
"093","SUBIR ALÇA REGATA"
"094","PREGAR BOLSO"
"095","PREGAR JOELHEIRAS"
"096","FOLGAR CINTURA"
"097","TROCAR BOTAO FORRADO"
"098","TROCAR MANGAS"
"099","TROCAR COLARINHO"
"100","TROCAR PUNHO"
"101","TROCAR PUNHO MALHA"
"102","TROCAR FORRO RODADO"
"103","TROCAR  LASTEX"
"104","TROCAR ELASTIC PERNA"
"105","CASEAR S BOTAO"
"106","CASEAR C BOTAO CADA"
"107","FECHAR FENDA"
"108","BARRA ORIGINAL"
"109","COLOCAR COS"
"110","COLOCAR NESGA LATERA"
"111","CERZIR"
"112","COLOCAR GOLA"
"113","TIRA GOLA E ACABAMEN"
"114","COLOCAR ALÇA"
"115","COLOCAR NESGA"
"116","CERZIR MALHA A MAO"
"117","ALÇAS (SIMPLES/ROLE)"
"118","COLOCAR BOJO"
"119","COLOCAR CADARÇO"
"120","COLOC COCH DE GANCH"
"121","COLOC COCH DE PRESSA"
"122","COLOC FEICHO DE SUTI"
"123","COLOC ILHOES CADA"
"124","COLOCAR OMBREIRA"
"125","COLOCAR VELCRO"
"126","TIRAR BOJO E ACABAME"
"127","TRANSF EM BERMUDA"
"128","BARRA LENÇOL"
"129","BARRA SIMP TOA BANH"
"130","BARRA SIMP TOA ROST"
"131","BARRA SIMP TOA MESA"
"132","VIES ALGOD TOA BANH"
"133","VIES DE ALGO TOA ROS"
"134","VIES SIMP TOA MESA"
"135","VIES EM FRALDA"
"136","REFORÇO COSTURA CADA"
