CodPro,DesPro
"001","VESTIDO"
"002","VESTIDO FESTA"
"003","BLAZER"
"004","BLAZER DE COURO"
"005","ALMOFADA"
"006","CALÇA"
"007","CASACO"
"008","JAQUETA"
"009","COLETE"
"010","GRAVATA"
"011","CAMISETA"
"012","TOALHA"
"013","CAMISA"
"014","CAMISA POLO"
"015","BLUSA"
"016","BIQUINI / MAIÔ"
"017","COBERTOR"
"018","FRONHA"
"019","LENÇOL"
"020","SAIA"
"021","BERMUDA"
"022","DIVERSOS*"
"023","CORTINA"
"024","CALÇA SOCIAL"
"025","CALÇA DE COURO"
"026","CALÇA JEANS"
"027","CALÇA SPORT"
"028","JAQUETA DE COURO"
"029","SAIA DE COURO"
"031","CALÇA MOLETOM"
"399","BERMUDA DE COURO"
"400","ANAGUA"
"401","BATA"
"402","BONECA"
"403","BONÉ"
"404","BLUSINHA MANGA COMPRIDA"
"405","BLUSINHA MANGA CURTA"
"406","BOLSA"
"407","CACHECOL"
"408","CALÇA LEGGING"
"409","CALCINHA"
"416","CAMISOLA"
"417","CAPA"
"419","CASACO DE COURO"
"422","CHAPEU"
"423","CINTA MODELADORA"
"424","CINTO"
"426","COLCHA CASAL"
"427","COLCHA SOLTEIRO"
"428","COLCHONETE"
"429","CORPETE"
"430","CUECA"
"431","EDREDON"
"432","ECHARP"
"433","FANTASIA"
"434","FITNESS"
"435","FRALDA"
"436","GUARDANAPO"
"437","GUARDA CHUVA"
"438","GUARDA SOL"
"439","HOBBY"
"440","JOGO AMERICANO"
"441","KIMONO"
"442","LENÇO"
"443","OMBREIRA"
"444","LUVAS"
"445","MACACAO/MACAQUINHO"
"446","MANTA"
"447","MEIA"
"448","MOCHILA"
"449","MOSQUETEIRO"
"450","PANTUFA"
"451","PERUCA"
"453","REDE"
"454","SACO DE DORMIR"
"455","SACO PLASTICO P/ FRALDA"
"456","SACOLA"
"457","SANDALIA"
"458","SAPATILHA"
"459","SAPATO"
"460","SHORTS"
"461","SUNGA"
"462","SUTIAN"
"463","TAPETE"
"464","TIARA"
"465","TECIDO"
"466","TENDA"
"467","TENNIS"
"470","TOALHA DE MESA"
"471","TOP"
"472","TOUCA"
"473","TRAVESSEIRO"
"474","UNIFORME"
"476","CALÇA ESCOLAR"
"477","BARRA POSTIÇA"
"478","AVENTAL"
"479","MACACAO MOTO/SALTO"
"480","VESTIDO DE COURO"
"481","JAQUETA INFANTIL"
"482","BLUSA CARDIGAN"
"483","BARRACA"
"484","BORY"
"485","VISEIRA"
"486","PET"
"006","CALÇA"
"020","SAIA"
