Sistema,Executavel,MenuOuAcao,OperacaoPermissao,ModuloDominio,TipoAcao,PermissaoOrigem,Confianca,Observacao
LAVSOFT,LavSoft,Altera Cliente,AlteraCliente1,cadastro,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,AlteraCliente1,AlteraCliente1,cadastro,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,AlteraCliente18,AlteraCliente1,cadastro,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,AlteraCliente1Click,AlteraCliente1,cadastro,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,AlteraCliente1Click$,AlteraCliente1,cadastro,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavFacilLan,AlteraodeProdutos1,Alterao1,estoque/produto,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,AlteraodeProdutos1,Alterao1,estoque/produto,editar/alterar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,:\EquipExe\Exe\Anotacoes.Exe,Anotacoes1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,\Anotacoes,Anotacoes1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,"\Anotacoes"" A",Anotacoes1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Anotacoes,Anotacoes1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Anotacoes1,Anotacoes1,operacional/outro,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CaixaDiaDia1,CaixaDiaDia1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CaixaDiaDia14,CaixaDiaDia1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,CaixaDiaDia1Click,CaixaDiaDia1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Fechamento de Caixa Dia/Dia,CaixaDiaDia1,financeiro/caixa,processar/fechar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,Movimento de Caixa Dia/Dia,CaixaDiaDia1,financeiro/caixa,abrir/executar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,"- use o Cancelamento do Pagamento, Tecle Enter para Continuar",Cancelamento2,financeiro/caixa,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
LAVSOFT,LavSoft,"""Cancelamento de Notas (Intervalo)",Cancelamento2,operacional/outro,excluir/cancelar,Nivel.DB/correlacao,media,correlacao por nome/texto; exige validacao visual
