OperacaoPermissao,Sistemas,UsuariosDistintos,FiliaisDistintas,EscopoProvavel,Observacao
AlteraCliente1,LAVSOFT,1,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Alterao1,LAVSOFT,2,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
AnaMovDia1,LAVSOFT,3,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Anotacoes1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
AtuEstrutura1,LAVSOFT,1,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFAbertura1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFDestravaImpressoraFiscal1,LAVSOFT,4,1,relatorio/impressao,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFFechamento1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFFechamentoParcial1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFFundodeCaixa1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFHorarioVerao1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFLeituraMemriaFiscal1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFLeituraX1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CFSangriaCaixa1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CaixaDiaDia1,LAVSOFT,3,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CancAdi,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CancPag,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Cancelamento2,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CancelamentoNotaFiscal1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CancelamentodaNota1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CancelamentodeNotasIntervalo1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
Caractersticas1,LAVSOFT,4,1,operacional/outro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CartadeCobranca1,LAVSOFT,3,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ClientesCad1,LAVSOFT,1,1,cadastro,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CobrancaDiversas,LAVSOFT,1,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ComissaoPagamento1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ComissoRol1,LAVSOFT,4,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ConIntEntrega1,LAVSOFT,1,1,lavanderia/rol,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
CondicaodePagamento1,LAVSOFT,4,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
ContasRapidas1,LAVSOFT,1,1,financeiro/caixa,derivado de Nivel/permisoes legadas; niveis I/A/E/T precisam validacao semantica
