"Name","Source","Destination","Length","LastWriteTime","Action"
"AX6R32.DLL","D:\AtelieProd\Equipexe\Exe\AX6R32.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\AX6R32.DLL","106496","13/10/2000 17:50:06","copied"
"BEMADP32.dll","D:\AtelieProd\Equipexe\Exe\BEMADP32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\BEMADP32.dll","87040","15/08/2001 11:18:56","copied"
"BemaFI32.dll","D:\AtelieProd\Equipexe\Exe\BemaFI32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\BemaFI32.dll","745472","30/03/2006 16:46:44","copied"
"BemaMFD.dll","D:\AtelieProd\Equipexe\Exe\BemaMFD.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\BemaMFD.dll","704512","06/03/2006 13:50:46","copied"
"BemaSAT32.dll","D:\AtelieProd\Equipexe\Exe\BemaSAT32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\BemaSAT32.dll","847360","01/12/2016 17:22:20","copied"
"BemaSAT64.dll","D:\AtelieProd\Equipexe\Exe\BemaSAT64.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\BemaSAT64.dll","1095680","01/12/2016 17:22:14","copied"
"borlndmm.dll","D:\AtelieProd\Equipexe\Exe\borlndmm.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\borlndmm.dll","29696","14/11/2005 05:00:00","copied"
"CobreBemX.dll","D:\AtelieProd\Equipexe\Exe\CobreBemX.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\CobreBemX.dll","1554944","24/08/2004 16:35:42","copied"
"Cw3220.dll","D:\AtelieProd\Equipexe\Exe\Cw3220.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Cw3220.dll","229376","05/07/2001 14:03:02","copied"
"DAO350.DLL","D:\AtelieProd\Equipexe\Exe\DAO350.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\DAO350.DLL","570128","26/04/1998 23:00:00","copied"
"Daruma32_Ant.dll","D:\AtelieProd\Equipexe\Exe\Daruma32_Ant.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Daruma32_Ant.dll","212992","05/03/2004 10:00:44","copied"
"Daruma32.dll","D:\AtelieProd\Equipexe\Exe\Daruma32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Daruma32.dll","729088","23/03/2006 16:04:08","copied"
"dbcoed32.dll","D:\AtelieProd\Equipexe\Exe\dbcoed32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbcoed32.dll","68608","02/02/1996 06:00:00","copied"
"dbdcrt32.dll","D:\AtelieProd\Equipexe\Exe\dbdcrt32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbdcrt32.dll","226336","02/02/1996 06:00:00","copied"
"dbdide32.dll","D:\AtelieProd\Equipexe\Exe\dbdide32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbdide32.dll","195616","02/02/1996 06:00:00","copied"
"dbdqbe32.dll","D:\AtelieProd\Equipexe\Exe\dbdqbe32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbdqbe32.dll","118816","02/02/1996 06:00:00","copied"
"dbdsql32.dll","D:\AtelieProd\Equipexe\Exe\dbdsql32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbdsql32.dll","78368","02/02/1996 06:00:00","copied"
"dbdutl32.dll","D:\AtelieProd\Equipexe\Exe\dbdutl32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbdutl32.dll","118816","02/02/1996 06:00:00","copied"
"dbdvw32.dll","D:\AtelieProd\Equipexe\Exe\dbdvw32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbdvw32.dll","233504","02/02/1996 06:00:00","copied"
"dbedit32.dll","D:\AtelieProd\Equipexe\Exe\dbedit32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbedit32.dll","89120","02/02/1996 06:00:00","copied"
"dbexpint.dll","D:\AtelieProd\Equipexe\Exe\dbexpint.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbexpint.dll","123392","24/01/2004 14:39:44","copied"
"dbexpmss.dll","D:\AtelieProd\Equipexe\Exe\dbexpmss.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbexpmss.dll","128000","09/08/2002 13:00:00","copied"
"dbkbd32.dll","D:\AtelieProd\Equipexe\Exe\dbkbd32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbkbd32.dll","29728","02/02/1996 06:00:00","copied"
"dbres09.dll","D:\AtelieProd\Equipexe\Exe\dbres09.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbres09.dll","464928","02/02/1996 06:00:00","copied"
"dbsrv32.dll","D:\AtelieProd\Equipexe\Exe\dbsrv32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\dbsrv32.dll","625184","02/02/1996 06:00:00","copied"
"fs345_32.dll","D:\AtelieProd\Equipexe\Exe\fs345_32.dll","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\fs345_32.dll","53248","02/07/2002 11:08:56","copied"
"GDS32.DLL","D:\AtelieProd\Equipexe\Exe\GDS32.DLL","D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\GDS32.DLL","360448","18/08/2008 10:41:30","copied"
