"FullName","Name","Extension","Length","LastWriteTime"
"D:\AtelieProd\Equipexe\Exe\Ajusta_Sistemas_Equipe.bat","Ajusta_Sistemas_Equipe.bat",".bat","415","09/08/2024 10:25:18"
"D:\AtelieProd\Equipexe\Exe\APAGA TEMPORARIO.bat","APAGA TEMPORARIO.bat",".bat","108","09/06/2015 16:21:36"
"D:\AtelieProd\Equipexe\Exe\BemaDP32.ini","BemaDP32.ini",".ini","6088","09/08/2000 14:03:28"
"D:\AtelieProd\Equipexe\Exe\BemaFI32.ini","BemaFI32.ini",".ini","19","08/04/2013 16:22:42"
"D:\AtelieProd\Equipexe\Exe\DBDWORK.INI","DBDWORK.INI",".INI","2","27/02/2019 13:00:34"
"D:\AtelieProd\Equipexe\Grids\RECEPCAO00001.Ini","RECEPCAO00001.Ini",".Ini","1506","31/07/2023 13:21:24"
"D:\AtelieProd\Equipexe\RedeArqTp\RedeArqTp.bat","RedeArqTp.bat",".bat","1048","24/06/2015 11:27:46"
"D:\AtelieProd\Equipexe\Analise.Ini","Analise.Ini",".Ini","181","11/01/2026 09:01:23"
"D:\AtelieProd\Equipexe\Argox.ini","Argox.ini",".ini","132","10/09/2009 09:24:22"
"D:\AtelieProd\Equipexe\EquBackup.Ini","EquBackup.Ini",".Ini","440","22/04/2022 10:17:04"
"D:\AtelieProd\Equipexe\EquEsc.Ini","EquEsc.Ini",".Ini","454","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquEst.Ini","EquEst.Ini",".Ini","813","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquEst00001.Ini","EquEst00001.Ini",".Ini","302","14/05/2009 15:05:00"
"D:\AtelieProd\Equipexe\EquFranquias.Ini","EquFranquias.Ini",".Ini","336","11/07/2013 15:29:36"
"D:\AtelieProd\Equipexe\EquGer.Ini","EquGer.Ini",".Ini","17","08/04/2002 18:53:08"
"D:\AtelieProd\Equipexe\EquGer00001.Ini","EquGer00001.Ini",".Ini","596","16/09/2025 08:53:37"
"D:\AtelieProd\Equipexe\EquGer99999.Ini","EquGer99999.Ini",".Ini","175","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquipeParam.ini","EquipeParam.ini",".ini","19","11/07/2013 15:29:36"
"D:\AtelieProd\Equipexe\EquLav.Ini","EquLav.Ini",".Ini","7170","21/05/2026 10:58:54"
"D:\AtelieProd\Equipexe\EquLav00001.Ini","EquLav00001.Ini",".Ini","19308","21/05/2026 16:45:35"
"D:\AtelieProd\Equipexe\EquLav99999.Ini","EquLav99999.Ini",".Ini","16976","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquMan.Ini","EquMan.Ini",".Ini","454","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquNet.Ini","EquNet.Ini",".Ini","996","21/05/2026 10:58:58"
"D:\AtelieProd\Equipexe\EquPag.Ini","EquPag.Ini",".Ini","109","16/01/1998 12:49:18"
"D:\AtelieProd\Equipexe\EquPag00001.Ini","EquPag00001.Ini",".Ini","108","16/01/1998 11:49:42"
"D:\AtelieProd\Equipexe\EquPCP.Ini","EquPCP.Ini",".Ini","180","06/02/2013 12:06:22"
"D:\AtelieProd\Equipexe\EquPec.Ini","EquPec.Ini",".Ini","81","04/02/2009 15:07:04"
"D:\AtelieProd\Equipexe\EquPec00001.Ini","EquPec00001.Ini",".Ini","535","14/05/2009 15:06:22"
"D:\AtelieProd\Equipexe\EquRec.Ini","EquRec.Ini",".Ini","505","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquRec00001.Ini","EquRec00001.Ini",".Ini","10949","10/05/2019 12:32:28"
"D:\AtelieProd\Equipexe\EquSat.Ini","EquSat.Ini",".Ini","454","31/01/2018 07:57:56"
"D:\AtelieProd\Equipexe\EquSenha.Ini","EquSenha.Ini",".Ini","76","21/07/2016 11:19:52"
"D:\AtelieProd\Equipexe\executalav.bat","executalav.bat",".bat","108","09/06/2015 16:21:36"
"D:\AtelieProd\Equipexe\LogLavSoft.Ini","LogLavSoft.Ini",".Ini","292782","04/05/2026 13:15:06"
"D:\AtelieProd\Equipexe\Registrar.xml","Registrar.xml",".xml","296","21/05/2026 19:43:58"
"D:\AtelieProd\Equipexe\Schedule.xml","Schedule.xml",".xml","52","31/01/2018 08:17:08"
