"FullName","Name","Extension","Length","LastWriteTime","FileDescription","ProductName","CompanyName","FileVersion","ProductVersion","OriginalFilename"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","19101184","22/06/2015 11:55:58","","","","10.1.0.56","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","3513856","28/10/2009 08:31:56","","","","1.0.0.35","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\Anotacoes.exe","Anotacoes.exe",".exe","1473536","30/01/2006 17:27:10",,,,,,
"D:\AtelieProd\Equipexe\Exe\AX6R32.DLL","AX6R32.DLL",".DLL","106496","13/10/2000 17:50:06","Ax6r32 Demo Version","Axtel, Inc. Ax6r32","Axtel, Inc.","2, 0, 0, 33","2, 0, 0, 33","Ax6r32.dll"
"D:\AtelieProd\Equipexe\Exe\Backup.exe","Backup.exe",".exe","2470400","09/09/2016 08:43:58",,,,,,
"D:\AtelieProd\Equipexe\Exe\BEMADP32.dll","BEMADP32.dll",".dll","87040","15/08/2001 11:18:56","BEMADP32","BEMADP32","Bematech -  Indústria e Comércio de  Equipamentos Eletrôncios S/A","1.1","1.1","BEMADP32.dll"
"D:\AtelieProd\Equipexe\Exe\BemaFI32.dll","BemaFI32.dll",".dll","745472","30/03/2006 16:46:44","Dll de alto nível para impressoras fiscais Bematech matriciais e térmicas com MFD (Memória Fita Detalhe).","BemaFI32.dll","Bematech Ind. e Com. de Equip. Eletrônicos S.A.","5, 0, 0, 0","5, 0, 0, 0","BemaFI32.dll"
"D:\AtelieProd\Equipexe\Exe\BemaMFD.dll","BemaMFD.dll",".dll","704512","06/03/2006 13:50:46","BemaMFD DLL","BemaMFD Dynamic Link Library","","1, 0, 0, 12","1, 0, 0, 12","BemaMFD.DLL"
"D:\AtelieProd\Equipexe\Exe\BemaSAT32.dll","BemaSAT32.dll",".dll","847360","01/12/2016 17:22:20","BemaSAT Dynamic Link Library","BemaSAT Dynamic Link Library","","1, 0, 2, 23","1, 0, 2, 23","BemaSAT.dll"
"D:\AtelieProd\Equipexe\Exe\BemaSAT64.dll","BemaSAT64.dll",".dll","1095680","01/12/2016 17:22:14","BemaSAT Dynamic Link Library","BemaSAT Dynamic Link Library","","1, 0, 2, 23","1, 0, 2, 23","BemaSAT.dll"
"D:\AtelieProd\Equipexe\Exe\borlndmm.dll","borlndmm.dll",".dll","29696","14/11/2005 05:00:00","Borland Memory Manager","Borland Memory Manager","Borland Software Corporation","10.0.2151.25345","10.0","Borlndmm.Dll"
"D:\AtelieProd\Equipexe\Exe\CEP.exe","CEP.exe",".exe","2253312","25/09/2007 08:47:30",,,,,,
"D:\AtelieProd\Equipexe\Exe\ChamaExcell.exe","ChamaExcell.exe",".exe","1343488","18/07/2009 10:14:56",,,,,,
"D:\AtelieProd\Equipexe\Exe\CobreBemX.dll","CobreBemX.dll",".dll","1554944","24/08/2004 16:35:42","","","","2.0.0.3","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\Conexao.exe","Conexao.exe",".exe","644608","10/05/2007 10:51:54",,,,,,
"D:\AtelieProd\Equipexe\Exe\Conexoes.exe","Conexoes.exe",".exe","1114624","14/08/2003 01:38:48","","","","1.0.0.6","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\ConfigXP2000.exe","ConfigXP2000.exe",".exe","1174528","13/08/2010 12:25:26",,,,,,
"D:\AtelieProd\Equipexe\Exe\ConnectionODBC.exe","ConnectionODBC.exe",".exe","863744","02/10/2008 14:07:00",,,,,,
"D:\AtelieProd\Equipexe\Exe\ConvBDEquipe.exe","ConvBDEquipe.exe",".exe","1231872","02/10/2008 12:09:46",,,,,,
"D:\AtelieProd\Equipexe\Exe\Cw3220.dll","Cw3220.dll",".dll","229376","05/07/2001 14:03:02","Dynamic Link Run Time Library","Borland C++ 5.0","Borland International","2.0","5.0",""
"D:\AtelieProd\Equipexe\Exe\DAO350.DLL","DAO350.DLL",".DLL","570128","26/04/1998 23:00:00","Microsoft DAO 3.51 Object Library","Microsoft® Jet","Microsoft Corporation","3.51.1608.0","3.51.1608.0","DAO350.DLL"
"D:\AtelieProd\Equipexe\Exe\Daruma32_Ant.dll","Daruma32_Ant.dll",".dll","212992","05/03/2004 10:00:44","DARUMA32.dll           (Fiscal V1.5.1) / (Dual V0.0) / (TA1000 V0.0)","Daruma32.dll","Daruma Automação","DARUMA AUTOMACAO","DARUMA32.dll           (Fiscal V1.5) / (Dual V0.0) / (TA1000 V0.0)","Daruma32"
"D:\AtelieProd\Equipexe\Exe\Daruma32.dll","Daruma32.dll",".dll","729088","23/03/2006 16:04:08","Versão Cliente","Daruma32.dll","Daruma Automação","0, 0, 0, 0","DARUMA32.dll (Fiscal V.2.14.05) -  (Rest. V.2.07) - (Dual V.2.05) -  (TA1000 V.2.03)","Daruma32"
"D:\AtelieProd\Equipexe\Exe\dbcoed32.dll","dbcoed32.dll",".dll","68608","02/02/1996 06:00:00","Borland COEDIT","","Borland International","2.00","$Revision:   4.249  $","DBDCOED.DLL"
"D:\AtelieProd\Equipexe\Exe\dbd32.exe","dbd32.exe",".exe","141888","16/05/2002 05:43:16","Database Desktop","Database Desktop","Borland International","7.00","7.00","DBD32.EXE"
"D:\AtelieProd\Equipexe\Exe\dbdcrt32.dll","dbdcrt32.dll",".dll","226336","02/02/1996 06:00:00","Database Desktop Create / Restructure DLL","Database Desktop","Borland International","7.00","7.00","DBDCREAT.DLL"
"D:\AtelieProd\Equipexe\Exe\dbdide32.dll","dbdide32.dll",".dll","195616","02/02/1996 06:00:00","Paradox ObjectPAL IDE - Desktop Interface DLL","Paradox for Windows Runtime","Borland International","7.00","7.00","PXRIDE.DLL"
"D:\AtelieProd\Equipexe\Exe\dbdqbe32.dll","dbdqbe32.dll",".dll","118816","02/02/1996 06:00:00","Database Desktop Query by Example DLL","Database Desktop","Borland International","7.00","7.00","DBDQBE.DLL"
"D:\AtelieProd\Equipexe\Exe\dbdsql32.dll","dbdsql32.dll",".dll","78368","02/02/1996 06:00:00","Database Desktop SQL Editor","Database Desktop","Borland International","7.00","7.00","DBDSQL.DLL"
"D:\AtelieProd\Equipexe\Exe\dbdutl32.dll","dbdutl32.dll",".dll","118816","02/02/1996 06:00:00","Paradox for Windows Utility DLL","Paradox for Windows","Borland International","7.00","7.00","PXDUTL32.DLL"
"D:\AtelieProd\Equipexe\Exe\dbdvw32.dll","dbdvw32.dll",".dll","233504","02/02/1996 06:00:00","Database Desktop Table View DLL","Database Desktop","Borland International","7.00","7.00","DBDVIEW.DLL"
"D:\AtelieProd\Equipexe\Exe\dbedit32.dll","dbedit32.dll",".dll","89120","02/02/1996 06:00:00","Paradox Editor DLL","Paradox for Windows","Borland International","7.00","7.00","PXEDIT32.DLL"
"D:\AtelieProd\Equipexe\Exe\dbexpint.dll","dbexpint.dll",".dll","123392","24/01/2004 14:39:44","Borland dbExpress INTERBASE driver","DataSnap Direct Drivers","Borland Software Corporation","7.0.2.113","7.0","dbexpint.dll"
"D:\AtelieProd\Equipexe\Exe\dbexpmss.dll","dbexpmss.dll",".dll","128000","09/08/2002 13:00:00","Borland dbExpress MSSQL driver","DataSnap Direct Drivers","Borland Software Corporation","7.0.2.113","7.0","dbexpmss.dll"
"D:\AtelieProd\Equipexe\Exe\dbkbd32.dll","dbkbd32.dll",".dll","29728","02/02/1996 06:00:00","Paradox Keyboard DLL","Paradox for Windows","Borland International","7.00","7.00","PXKBD32.DLL"
"D:\AtelieProd\Equipexe\Exe\dbres09.dll","dbres09.dll",".dll","464928","02/02/1996 06:00:00","Database Desktop Resource DLL","Database Desktop","Borland International","7.00","7.00","DBRES09.DLL"
"D:\AtelieProd\Equipexe\Exe\dbsrv32.dll","dbsrv32.dll",".dll","625184","02/02/1996 06:00:00","Database Desktop Service DLL","Database Desktop","Borland International","7.00","7.00","DBSRV.DLL"
"D:\AtelieProd\Equipexe\Exe\EnvEmailEquipe.exe","EnvEmailEquipe.exe",".exe","2609664","08/02/2008 18:05:30",,,,,,
"D:\AtelieProd\Equipexe\Exe\EqEmail.exe","EqEmail.exe",".exe","407040","14/02/2000 14:06:32","","","","1.0.0.2","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\EquConfig.exe","EquConfig.exe",".exe","508928","24/05/2005 09:22:00",,,,,,
"D:\AtelieProd\Equipexe\Exe\EquEstruAtu.exe","EquEstruAtu.exe",".exe","3743232","30/03/2017 09:07:14",,,,,,
"D:\AtelieProd\Equipexe\Exe\EquKill.exe","EquKill.exe",".exe","817664","19/12/2002 16:00:24",,,,,,
"D:\AtelieProd\Equipexe\Exe\EquMail.exe","EquMail.exe",".exe","1388032","25/02/2004 00:11:02","","","","1.0.0.6","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\EquManut.exe","EquManut.exe",".exe","2036736","26/02/2008 08:07:28",,,,,,
"D:\AtelieProd\Equipexe\Exe\EquUnit.exe","EquUnit.exe",".exe","783872","10/04/2005 11:34:12",,,,,,
"D:\AtelieProd\Equipexe\Exe\Estoque.exe","Estoque.exe",".exe","8430080","18/10/2017 11:52:40","","Equipe Sistemas","Equipe Sistemas Inteligentes Ltda","1.0.0.119","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\Expedicao.exe","Expedicao.exe",".exe","1871872","04/09/2006 15:51:26",,,,,,
"D:\AtelieProd\Equipexe\Exe\Financ.exe","Financ.exe",".exe","4347392","20/04/2018 12:19:28",,,,,,
"D:\AtelieProd\Equipexe\Exe\Financeiro.exe","Financeiro.exe",".exe","4687360","05/09/2007 13:13:04",,,,,,
"D:\AtelieProd\Equipexe\Exe\FranLav.exe","FranLav.exe",".exe","4098560","18/05/2007 10:20:50","","Equipe Sistemas","Equipe Sistemas Inteligentes Ltda","1.0.0.51","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\fs345_32.dll","fs345_32.dll",".dll","53248","02/07/2002 11:08:56",,,,,,
"D:\AtelieProd\Equipexe\Exe\GDS32.DLL","GDS32.DLL",".DLL","360448","18/08/2008 10:41:30","InterBase Server","InterBase Server","Inprise Corporation","WI-T0.9.4.41","0.9.4.41",""
"D:\AtelieProd\Equipexe\Exe\general32.dll","general32.dll",".dll","90594","05/07/2001 14:02:38",,,,,,
"D:\AtelieProd\Equipexe\Exe\Gerenciador-old.exe","Gerenciador-old.exe",".exe","470528","04/11/2015 16:50:26","Gerenciador","Gerenciador","Equipe Sistemas Inteligentes","1.0.0.0","1.0.0.0","Gerenciador.exe"
"D:\AtelieProd\Equipexe\Exe\Gerenciador.exe","Gerenciador.exe",".exe","860160","29/09/2016 12:57:54","Gerenciador","Gerenciador","Equipe Soluções Inteligentes","1.0.0.0","1.0.0.0","Gerenciador.exe"
"D:\AtelieProd\Equipexe\Exe\Idct.exe","Idct.exe",".exe","679936","22/09/2001 22:50:28",,,,,,
"D:\AtelieProd\Equipexe\Exe\ImpAutomLavSoft.exe","ImpAutomLavSoft.exe",".exe","1932288","04/10/2007 10:29:56",,,,,,
"D:\AtelieProd\Equipexe\Exe\LavFacilLan.exe","LavFacilLan.exe",".exe","20191744","24/07/2017 13:38:16","","","","10.1.0.57","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\LavSoft.exe","LavSoft.exe",".exe","10150400","24/07/2017 13:36:26",,,,,,
"D:\AtelieProd\Equipexe\Exe\LeCamera.exe","LeCamera.exe",".exe","502272","21/12/2006 15:01:36",,,,,,
"D:\AtelieProd\Equipexe\Exe\libeay32.dll","libeay32.dll",".dll","1276416","08/03/2013 10:43:20","OpenSSL Shared Library","The OpenSSL Toolkit","The OpenSSL Project, http://www.openssl.org/","1.0.1e","1.0.1e","libeay32.dll"
"D:\AtelieProd\Equipexe\Exe\LiveUpdate.exe","LiveUpdate.exe",".exe","2092032","08/09/2016 09:55:36","Atualização Automática","Equipe LiveUpdate","Equipe Sistemas Inteligentes","2.0.1.0","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\lotenfse.dll","lotenfse.dll",".dll","1011200","28/06/2010 11:28:00","","","","1.0.0.6","1.0.0.0",""
"D:\AtelieProd\Equipexe\Exe\LSLavSoft.exe","LSLavSoft.exe",".exe","966656","25/07/2005 16:48:48",,,,,,
"D:\AtelieProd\Equipexe\Exe\Lspt.exe","Lspt.exe",".exe","460800","17/02/2005 17:28:50",,,,,,
"D:\AtelieProd\Equipexe\Exe\MachLavLoc.exe","MachLavLoc.exe",".exe","1075200","30/12/2004 13:06:56",,,,,,
"D:\AtelieProd\Equipexe\Exe\midas.dll","midas.dll",".dll","296448","22/01/2004 00:44:28","Borland MIDAS Component Package","Midas support DLL ","Borland Software Corporation","7.0.4.453","7.0","MIDAS.DLL"
"D:\AtelieProd\Equipexe\Exe\MP2032.DLL","MP2032.DLL",".DLL","249955","19/07/2002 09:21:12","MP2032","MP2032.DLL","Bematech Ind. e Com. de Equip. Eletronicos S.A.","2, 4, 2, 0","2, 4, 2, 0","MP2032.dll"
"D:\AtelieProd\Equipexe\Exe\MP20FI32.DLL","MP20FI32.DLL",".DLL","89088","01/11/1999 22:04:02","Biblioteca de Comunicacao MP-20Fi | MP-40Fi","Dll de Comunicação Para Imp. Fiscais Bematech","Bematech Ind. e Com. de Equip. Eletronicos S.A.","7, 0, 1, 0","7, 0, 1, 0","MP2032.dll"
