"Executavel","Form","Tipo","Nome","Caption","Left","Top","Width","Height","DataSource","DataSet","FieldName","TableName","DatabaseName","OnClick","OnKeyPress","Raw"
"LavSoft","","TTable","component","","","","","","","","","","","","","BDE error $%.4x3Unable to use duplicate DataSource and LookupSource2LookupSource must be connected to TTable component*%s must be the lookup table's active index!;Input;Output;Input/Output;Result%Must have a valid field type selected""Parameter '%s' truncated on output"
"LavSoft","","TMenuItem","EscolheondeGravaArquivoIntegrao1","","","","","","","","","","","","","TMenuItem EscolheondeGravaArquivoIntegrao1"
"LavSoft","","TMenuItem","NFENotafiscaleletrnicadeservios1","","","","","","","","","","","","","TMenuItem NFENotafiscaleletrnicadeservios1"
"LavFacilLan","","TQuery","for","","","","","","","","","","","","","!No Stored Procedure Name assigned<use ExecProc for Procedure; use TQuery for Select procedures"
"LavFacilLan","","TTable","component","","","","","","","","","","","","","BDE error $%.4x3Unable to use duplicate DataSource and LookupSource2LookupSource must be connected to TTable component"
"LavFacilLan","","TMenuItem","NFENotafiscaleletrnicadeservios1","","","","","","","","","","","","","TMenuItem NFENotafiscaleletrnicadeservios1"
"Estoque","","TTable","component","","","","","","","","","","","","","BDE error $%.4x3Unable to use duplicate DataSource and LookupSource2LookupSource must be connected to TTable component*%s must be the lookup table's active index"
"Financeiro","","TTable","component","","","","","","","","","","","","","BDE error $%.4x3Unable to use duplicate DataSource and LookupSource2LookupSource must be connected to TTable component*%s must be the lookup table's active index"
"SAT","","TTable","component","","","","","","","","","","","","","BDE error $%.4x3Unable to use duplicate DataSource and LookupSource2LookupSource must be connected to TTable component*%s must be the lookup table's active index"
"SAT","","TQuery","for","","","","","","","","","","","","","Required Param value not set!No Stored Procedure Name assigned<use ExecProc for Procedure; use TQuery for Select procedures"
"Senhas","","TTable","component","","","","","","","","","","","","","BDE error $%.4x3Unable to use duplicate DataSource and LookupSource2LookupSource must be connected to TTable component*%s must be the lookup table's active index"
