"Executavel","Categoria","Texto"
"LavSoft","operacional","        R.DesPro, I.Peso, I.Prefinal, R.TipCom, R.TipoControle, M.DatPas "
"LavSoft","operacional","       , L.Rol, L.CodPro, L.SeqPro, L.CodPro  "
"LavSoft","outro","       &Cancelamentos"
"LavSoft","operacional","       I.Quantidade, I.Peso, I.ValorTerc, I.PreFinal, M.Rol, M.CodCli, (I.PreFinal - I.ValorTerc) as Dieferenca, TP.DatEnt"
"LavSoft","operacional","       I.Quantidade, I.Peso, I.ValorTerc, I.PreFinalSer, M.Rol, M.CodCli, (I.PreFinalSer - I.ValorTerc) as Dieferenca, TP.DatEnt,P.TipPagTer"
"LavSoft","operacional","       M.CodTab,M.SitRol,M.Cancelado"
"LavSoft","fiscal","       M.NumNotAdi,"
"LavSoft","operacional","       M.ROL,"
"LavSoft","outro","      And (not (M.Cancelado=""S"")) "
"LavSoft","financeiro","      de Caixa      "
"LavSoft","fiscal","     Conferencia    "
"LavSoft","financeiro","     de Caixa     "
"LavSoft","cadastro","  - Controla pelo Cliente"
"LavSoft","outro","  And (not(Cancelado=""S"")) "
"LavSoft","operacional","  Hora    Rols Pecas"
"LavSoft","fiscal","  Nota     Rols   FPG"
"LavSoft","fiscal","  Nota     Rols-Tip FPG-T Vend. "
"LavSoft","operacional","  Rols      Data     Posicao"
"LavSoft","operacional","  Rols     Qde    FPG"
"LavSoft","operacional","  Rols     Qde  P  "
"LavSoft","operacional","  Rols     Qde  P      "
"LavSoft","operacional","  Rols     Valor   "
"LavSoft","operacional","  Rols   Valor Rol    "
"LavSoft","operacional","  Rols em Aberto"
"LavSoft","cadastro"," - Cadastro de: "
"LavSoft","fiscal"," - Conferente: "
"LavSoft","autenticacao/permissao"," - DIGITADA SENHA"
"LavSoft","outro"," - Exibe cancelados"
"LavSoft","operacional"," - SubRol "
"LavSoft","outro"," - use o Cancelamento do Pagamento, Tecle Enter para Continuar"
"LavSoft","operacional"," - Valor Rol: "
"LavSoft","outro"," ... - Cancelado"
"LavSoft","operacional"," ... - Verificando estoque"
"LavSoft","outro"," ) and (not(Cancelado="
"LavSoft","financeiro"," *  Rol com desconto"
"LavSoft","fiscal"," ****** CLIENTE DESATIVADO ******"
"LavSoft","operacional"," / ROL N. "
"LavSoft","relatorio/impressao"," &Relat"
"LavSoft","operacional"," 3-Controla Pontos C.F. e Imprime"
"LavSoft","fiscal"," and    (C.Desativado=""S"")"
"LavSoft","outro"," and    (M.Cancelado=""S"")"
"LavSoft","outro"," and    (N.Cancelada=""S"") "
"LavSoft","fiscal"," and    (not (C.Desativado=""S""))"
"LavSoft","outro"," and    (not (M.Cancelado=""S""))"
"LavSoft","outro"," and    (not N.Cancelada=""S"")"
"LavSoft","outro"," and    (not(A.Cancelado=""S"")) "
"LavSoft","outro"," and    (not(N.Cancelada=""S"")) "
"LavSoft","operacional"," and    (RolOrc is null)"
"LavSoft","autenticacao/permissao"," and    L.""CodUsuario""="""
"LavSoft","operacional"," and    M.""DatEntRol""<=:ParDatRolFinal"
"LavSoft","operacional"," and    M.""DatEntRol"">=:ParDatRolInicio"
"LavSoft","autenticacao/permissao"," and    M.CodUsuario="""
"LavSoft","autenticacao/permissao"," and    N.CodUsuario="""
"LavSoft","fiscal"," and    N.TipNota="""
"LavSoft","fiscal"," and    UPPER(L.NomeChave)=""NUMNOTADI"""
"LavSoft","operacional"," and    UPPER(L.NomeChave)=""ROL"""
"LavSoft","operacional"," and   (M.Rol = MI.Rol)"
"LavSoft","operacional"," and   (M.SitRol="""")"
"LavSoft","operacional"," and   (not M.SitRol=""P"")"
"LavSoft","operacional"," and   (Not(RolOrc is null))"
"LavSoft","operacional"," and   M.""DatEntRol""<=:ParDatFimEntRol"
"LavSoft","operacional"," and   M.""DatEntRol"">=:ParDatIniEntRol"
"LavSoft","operacional"," and   M.SitRol=""P"""
