"Sistema","OperacaoPermissao","Executavel","Categoria","TextoEncontrado","Confianca","Observacao"
"LAVSOFT","AlteraCliente1","LavSoft","cadastro","Altera Cliente","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","AlteraCliente1","LavSoft","cadastro","AlteraCliente1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","AlteraCliente1","LavSoft","cadastro","AlteraCliente18","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","AlteraCliente1","LavSoft","cadastro","AlteraCliente1Click","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","AlteraCliente1","LavSoft","cadastro","AlteraCliente1Click$","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Alterao1","LavFacilLan","cadastro","AlteraodeProdutos1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Alterao1","LavFacilLan","cadastro","AlteraodeProdutos1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Alterao1","LavSoft","cadastro","AlteraodeProdutos1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Alterao1","LavSoft","cadastro","AlteraodeProdutos1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro",":\EquipExe\Exe\Anotacoes.Exe","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro",":\EquipExe\Exe\Anotacoes.Exe","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro",":\EquipExe\Exe\Anotacoes.Exe","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro",":\EquipExe\Exe\Anotacoes.Exe","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes"" A","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes"" A","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes"" A","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","\Anotacoes"" A","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","Anotacoes1","LavSoft","outro","Anotacoes1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","CaixaDiaDia1","LavSoft","financeiro/caixa","CaixaDiaDia1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","CaixaDiaDia1","LavSoft","financeiro/caixa","CaixaDiaDia1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","CaixaDiaDia1","LavSoft","financeiro/caixa","CaixaDiaDia1","media","correlacao por nome/texto; exige validacao visual"
"LAVSOFT","CaixaDiaDia1","LavSoft","financeiro/caixa","CaixaDiaDia14","media","correlacao por nome/texto; exige validacao visual"
