"Executavel","Categoria","Texto","StatusLayout","ProximaValidacao"
"Estoque","autenticacao/permissao","\Nivel.Db","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","|Senha do usu","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","c_DigitaSenha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Digite a senha do usu","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Ed_Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Ed_SenhaEnter","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Ed_SenhaExit","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Ed_SenhaKeyPress","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","EIdSocksServerPermissionError","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","F_Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","F9 - Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","FC_DigSenha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Im_Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Lb_TitSenha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Nivel","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Sb_Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Sb_SenhaClick","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Senha n","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Senha1","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","SenhaEnabled","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Tb_CadVenSenha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Tb_CadVenSenhax","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Tb_Nivel","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Tb_Nivelh","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","Tb_VendedorSenha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","TF_Senha","texto_estatico_sem_posicao","captura_dinamica_MOD"
"Estoque","autenticacao/permissao","TF_SenhaD","texto_estatico_sem_posicao","captura_dinamica_MOD"
