"Executavel","Categoria","Texto","Origem"
"LavSoft","operacional","        R.DesPro, I.Peso, I.Prefinal, R.TipCom, R.TipoControle, M.DatPas ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","       , L.Rol, L.CodPro, L.SeqPro, L.CodPro  ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro","       &Cancelamentos","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","       I.Quantidade, I.Peso, I.ValorTerc, I.PreFinal, M.Rol, M.CodCli, (I.PreFinal - I.ValorTerc) as Dieferenca, TP.DatEnt","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","       I.Quantidade, I.Peso, I.ValorTerc, I.PreFinalSer, M.Rol, M.CodCli, (I.PreFinalSer - I.ValorTerc) as Dieferenca, TP.DatEnt,P.TipPagTer","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","       M.CodTab,M.SitRol,M.Cancelado","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal","       M.NumNotAdi,","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","       M.ROL,","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro","      And (not (M.Cancelado=""S"")) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro","      de Caixa      ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal","     Conferencia    ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","financeiro","     de Caixa     ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro","  - Controla pelo Cliente","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro","  < ENTREGA TOTAL >","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro","  And (not(Cancelado=""S"")) ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","  Hora    Rols Pecas","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal","  Nota     Rols   FPG","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal","  Nota     Rols-Tip FPG-T Vend. ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","  Rols      Data     Posicao","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","  Rols     Qde    FPG","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","  Rols     Qde  P  ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional","  Rols     Qde  P      ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
