"CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT"
"LAVSOFT","","AlteraCliente1","","","",""
"LAVSOFT","","Alterao1","","","",""
"LAVSOFT","","Alterao1","","","",""
"LAVSOFT","","AnaMovDia1","","","",""
"LAVSOFT","","AnaMovDia1","","","",""
"LAVSOFT","","AnaMovDia1","","","",""
"LAVSOFT","","Anotacoes1","","","",""
"LAVSOFT","","Anotacoes1","","","",""
"LAVSOFT","","Anotacoes1","","","",""
"LAVSOFT","","Anotacoes1","","","",""
"LAVSOFT","","AtuEstrutura1","","","",""
"LAVSOFT","","CaixaDiaDia1","","","",""
"LAVSOFT","","CaixaDiaDia1","","","",""
"LAVSOFT","","CaixaDiaDia1","","","",""
"LAVSOFT","","CancAdi","","","",""
"LAVSOFT","","CancAdi","","","",""
"LAVSOFT","","CancAdi","","","",""
"LAVSOFT","","CancAdi","","","",""
"LAVSOFT","","Cancelamento2","","","",""
"LAVSOFT","","Cancelamento2","","","",""
"LAVSOFT","","Cancelamento2","","","",""
"LAVSOFT","","Cancelamento2","","","",""
"LAVSOFT","","CancelamentodaNota1","","","",""
"LAVSOFT","","CancelamentodaNota1","","","",""
"LAVSOFT","","CancelamentodaNota1","","","",""
"LAVSOFT","","CancelamentodaNota1","","","",""
"LAVSOFT","","CancelamentodeNotasIntervalo1","","","",""
"LAVSOFT","","CancelamentodeNotasIntervalo1","","","",""
"LAVSOFT","","CancelamentodeNotasIntervalo1","","","",""
"LAVSOFT","","CancelamentodeNotasIntervalo1","","","",""
"LAVSOFT","","CancelamentoNotaFiscal1","","","",""
"LAVSOFT","","CancelamentoNotaFiscal1","","","",""
"LAVSOFT","","CancelamentoNotaFiscal1","","","",""
"LAVSOFT","","CancelamentoNotaFiscal1","","","",""
"LAVSOFT","","CancPag","","","",""
"LAVSOFT","","CancPag","","","",""
"LAVSOFT","","CancPag","","","",""
"LAVSOFT","","CancPag","","","",""
"LAVSOFT","","Caractersticas1","","","",""
"LAVSOFT","","Caractersticas1","","","",""
"LAVSOFT","","Caractersticas1","","","",""
"LAVSOFT","","Caractersticas1","","","",""
"LAVSOFT","","CartadeCobranca1","","","",""
"LAVSOFT","","CartadeCobranca1","","","",""
"LAVSOFT","","CartadeCobranca1","","","",""
"LAVSOFT","","CFAbertura1","","","",""
"LAVSOFT","","CFAbertura1","","","",""
"LAVSOFT","","CFAbertura1","","","",""
"LAVSOFT","","CFAbertura1","","","",""
"LAVSOFT","","CFDestravaImpressoraFiscal1","","","",""
"LAVSOFT","","CFDestravaImpressoraFiscal1","","","",""
"LAVSOFT","","CFDestravaImpressoraFiscal1","","","",""
"LAVSOFT","","CFDestravaImpressoraFiscal1","","","",""
"LAVSOFT","","CFFechamento1","","","",""
"LAVSOFT","","CFFechamento1","","","",""
"LAVSOFT","","CFFechamento1","","","",""
"LAVSOFT","","CFFechamento1","","","",""
"LAVSOFT","","CFFechamentoParcial1","","","",""
"LAVSOFT","","CFFechamentoParcial1","","","",""
"LAVSOFT","","CFFechamentoParcial1","","","",""
"LAVSOFT","","CFFechamentoParcial1","","","",""
"LAVSOFT","","CFFundodeCaixa1","","","",""
"LAVSOFT","","CFFundodeCaixa1","","","",""
"LAVSOFT","","CFFundodeCaixa1","","","",""
"LAVSOFT","","CFFundodeCaixa1","","","",""
"LAVSOFT","","CFHorarioVerao1","","","",""
"LAVSOFT","","CFHorarioVerao1","","","",""
"LAVSOFT","","CFHorarioVerao1","","","",""
"LAVSOFT","","CFHorarioVerao1","","","",""
"LAVSOFT","","CFLeituraMemriaFiscal1","","","",""
"LAVSOFT","","CFLeituraMemriaFiscal1","","","",""
"LAVSOFT","","CFLeituraMemriaFiscal1","","","",""
"LAVSOFT","","CFLeituraMemriaFiscal1","","","",""
"LAVSOFT","","CFLeituraX1","","","",""
"LAVSOFT","","CFLeituraX1","","","",""
"LAVSOFT","","CFLeituraX1","","","",""
"LAVSOFT","","CFLeituraX1","","","",""
"LAVSOFT","","CFSangriaCaixa1","","","",""
"LAVSOFT","","CFSangriaCaixa1","","","",""
"LAVSOFT","","CFSangriaCaixa1","","","",""
"LAVSOFT","","CFSangriaCaixa1","","","",""
"LAVSOFT","","ClientesCad1","","","",""
"LAVSOFT","","CobrancaDiversas","","","",""
"LAVSOFT","","ComissaoPagamento1","","","",""
"LAVSOFT","","ComissaoPagamento1","","","",""
"LAVSOFT","","ComissaoPagamento1","","","",""
"LAVSOFT","","ComissaoPagamento1","","","",""
"LAVSOFT","","ComissoRol1","","","",""
"LAVSOFT","","ComissoRol1","","","",""
"LAVSOFT","","ComissoRol1","","","",""
