"Executavel","Categoria","Texto"
"Estoque","cadastro","       &Cadastros         "
"Estoque","cadastro","     &Cadastros"
"Estoque","fiscal","     Notas N On (M.NumNot = N.NumNot) or (M.NumNotAdi = N.NumNot)"
"Estoque","cadastro","  Cliente: "
"Estoque","cadastro"," - Produto: "
"Estoque","cadastro"," [ Grupo de Produtos - Flexivel ]"
"Estoque","operacional"," | Estoque: "
"Estoque","cadastro"," |Grupo em que pertence o cliente"
"Estoque","relatorio/impressao"," b.RDB$TYPE_NAME IN ('RELATION', 'VIEW',"
"Estoque","cadastro"," cadastrado em outro cliente."
"Estoque","cadastro"," Cadastros foram ajustados"
"Estoque","outro"," CancelamentodoEncerramento1Click"
"Estoque","relatorio/impressao"," deseja imprimir o relat"
"Estoque","cadastro"," do cadastro de clientes todos os e-mails relacionados no arquivo "
"Estoque","relatorio/impressao"," I.RDB$INDEX_NAME, I.RDB$RELATION_NAME, I.RDB$UNIQUE_FLAG, "
"Estoque","relatorio/impressao"," I.RDB$RELATION_NAME = '"
"Estoque","operacional"," marcado para entrada posterior no estoque"
"Estoque","operacional"," Movimentos|Movimentos de Estoque"
"Estoque","relatorio/impressao"," ORDER BY a.RDB$RELATION_NAME, a.RDB$FIELD_POSITION"
"Estoque","relatorio/impressao"," ORDER BY a.RDB$RELATION_NAME, a.RDB$PRIVILEGE"
"Estoque","relatorio/impressao"," ORDER BY a.RDB$RELATION_NAME, b.RDB$FIELD_NAME"
"Estoque","relatorio/impressao"," ORDER BY RC_FOR.RDB$RELATION_NAME, IS_FOR.RDB$FIELD_POSITION "
"Estoque","relatorio/impressao"," ORDER BY RELC_PRIM.RDB$RELATION_NAME, IS_FOR.RDB$FIELD_POSITION "
"Estoque","fiscal"," preenchido com a chave de acesso da NF-e precedida do literal ""NFe"""
"Estoque","cadastro"," SB_ImportaClienteFidelidadeClick"
"Estoque","relatorio/impressao"," SELECT a.RDB$RELATION_NAME, a.RDB$FIELD_NAME, a.RDB$FIELD_POSITION, a.RDB$NULL_FLAG, a.RDB$DEFAULT_VALUE, b. RDB$FIELD_LENGTH, b.RDB$FIELD_SCALE, c.RDB$TYPE_NAME, b.RDB$FIELD_TYPE, b.RDB$FIELD_SUB_TYPE, b.RDB$DESCRIPTION, b.RDB$CHARACTER_LENGTH, b.RDB$FIELD_PRECISION, a.RDB$DEFAULT_SOURCE, b.RDB$DEFAULT_SOURCE as RDB$DEFAULT_SOURCE_DOMAIN FROM RDB$RELATION_FIELDS a JOIN RDB$FIELDS b ON (b.RDB$FIELD_NAME = a.RDB$FIELD_SOURCE) LEFT JOIN RDB$TYPES c ON (b.RDB$FIELD_TYPE = c.RDB$TYPE and c.RDB$FIELD_NAME = 'RDB$FIELD_TYPE')"
"Estoque","relatorio/impressao"," SELECT I.RDB$RELATION_NAME, I.RDB$UNIQUE_FLAG, I.RDB$INDEX_NAME, ISGMT.RDB$FIELD_POSITION,"
"Estoque","relatorio/impressao"," SELECT null as TABLE_CAT, null as TABLE_SCHEM, a.RDB$RELATION_NAME as TABLE_NAME, b.RDB$FIELD_NAME as COLUMN_NAME, b.RDB$FIELD_POSITION+1 as KEY_SEQ, a.RDB$INDEX_NAME as PK_NAME FROM RDB$RELATION_CONSTRAINTS a JOIN RDB$INDEX_SEGMENTS b ON (a.RDB$INDEX_NAME = b.RDB$INDEX_NAME) WHERE  RDB$CONSTRAINT_TYPE = 'PRIMARY KEY'"
"Estoque","relatorio/impressao"," SELECT RC_PRIM.RDB$RELATION_NAME,  IS_PRIM.RDB$FIELD_NAME,  RC_FOR.RDB$RELATION_NAME,  IS_FOR.RDB$FIELD_NAME,  IS_FOR.RDB$FIELD_POSITION,  REFC_PRIM.RDB$UPDATE_RULE,  REFC_PRIM.RDB$DELETE_RULE,  RC_FOR.RDB$CONSTRAINT_NAME,  RC_PRIM.RDB$CONSTRAINT_NAME  FROM RDB$RELATION_CONSTRAINTS RC_FOR, RDB$REF_CONSTRAINTS REFC_FOR,  RDB$RELATION_CONSTRAINTS RC_PRIM, RDB$REF_CONSTRAINTS REFC_PRIM,  RDB$INDEX_SEGMENTS IS_PRIM, RDB$INDEX_SEGMENTS IS_FOR  WHERE RC_PRIM.RDB$CONSTRAINT_TYPE = 'PRIMARY KEY' and "
"Estoque","cadastro","-Cliente: "
"Estoque","fiscal","-EParserDuplicate_Notation_On_Element_Type_Err"
"Estoque","operacional","-Estoque: "
"Estoque","cadastro","-Produto: "
"Estoque","fiscal",":\EquipExe\EquSat"
"Estoque","fiscal",":\EquipExe\EquSat.Ini"
"Estoque","cadastro",":Clientes"""
"Estoque","cadastro",":Clientes"" C"
"Estoque","cadastro","!Importar Dados Cliente Fidelidade"
"Estoque","outro",".Consulta|Consulta a Transportadora selecionada"
"Estoque","cadastro","""Clientes"" C "
"Estoque","fiscal","""EParserDuplicate_Notation_Decl_Err"
"Estoque","cadastro","(Consulta|Consulta do produto selecionado"
"Estoque","operacional","(Encerramento|Faz Encerramento do estoque"
"Estoque","cadastro",")C_CadastroPromo"
"Estoque","cadastro",")Desmarca o Produto no Controle de Limites"
"Estoque","relatorio/impressao",")Relatorio de controle de saida do estoque"
