"File","FileName","Extension","Machine","ImportedDll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","mpr.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","comctl32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","shell32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","wininet.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","comdlg32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","winspool.drv"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","winmm.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","BEMAFI32.DLL"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","Mp20fi32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","general32.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","qtintf70.dll"
"D:\AtelieProd\Equipexe\Estruturas\LavFacilLan.exe","LavFacilLan.exe",".exe","0x014C","qtintf70.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","advapi32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","mpr.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","version.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","gdi32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","user32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","ole32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","kernel32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","oleaut32.dll"
"D:\AtelieProd\Equipexe\Exe\Alerta.exe","Alerta.exe",".exe","0x014C","ole32.dll"
