"ImportedDll","Count","Files"
"kernel32.dll","260","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; AX6R32.DLL; Backup.exe; BEMADP32.dll; BemaFI32.dll; BemaMFD.dll; BemaSAT32.dll; BemaSAT64.dll; borlndmm.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; Cw3220.dll; DAO350.DLL; Daruma32_Ant.dll; Daruma32.dll; dbcoed32.dll; dbd32.exe; dbdcrt32.dll; dbdide32.dll; dbdqbe32.dll; dbdsql32.dll; dbdutl32.dll; dbdvw32.dll; dbedit32.dll; dbexpint.dll; dbexpmss.dll; dbkbd32.dll; dbres09.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; fs345_32.dll; GDS32.DLL; general32.dll; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LeCamera.exe; libeay32.dll; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; midas.dll; MP2032.DLL; MP20FI32.DLL; MSJET35.dll; MSVCRT.DLL; NBioBSP.dll; NFE.exe; NFSe_Util_nat.dll; NImgConv.dll; NMOCOD.DLL; NSearch.dll; ntwdblib.dll; OLEPRO32.DLL; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; PTravaRelogio.exe; qtintf.dll; qtintf70.dll; SAT.exe; Senhas.exe; ssleay32.dll; SYNC20.DLL; TrocaWordExcel.exe; Tutil32.dll; Tutil32.exe; Cfx32.ocx; Nmocod.dll; _ISREG32.DLL"
"user32.dll","147","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; AX6R32.DLL; Backup.exe; BemaFI32.dll; BemaMFD.dll; borlndmm.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; Cw3220.dll; DAO350.DLL; Daruma32_Ant.dll; Daruma32.dll; dbcoed32.dll; dbd32.exe; dbdcrt32.dll; dbdide32.dll; dbdqbe32.dll; dbdsql32.dll; dbdutl32.dll; dbdvw32.dll; dbedit32.dll; dbexpint.dll; dbexpmss.dll; dbkbd32.dll; dbres09.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; GDS32.DLL; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LeCamera.exe; libeay32.dll; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; midas.dll; MP2032.DLL; MP20FI32.DLL; MSJET35.dll; NBioBSP.dll; NFE.exe; NFSe_Util_nat.dll; NImgConv.dll; NMOCOD.DLL; ntwdblib.dll; OLEPRO32.DLL; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; PTravaRelogio.exe; qtintf.dll; qtintf70.dll; SAT.exe; Senhas.exe; SYNC20.DLL; TrocaWordExcel.exe; Tutil32.dll; Tutil32.exe; Cfx32.ocx; Nmocod.dll; _ISREG32.DLL"
"oleaut32.dll","140","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; Backup.exe; BemaMFD.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; DAO350.DLL; Daruma32_Ant.dll; Daruma32.dll; dbd32.exe; dbexpmss.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LeCamera.exe; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; midas.dll; MSJET35.dll; NFE.exe; NFSe_Util_nat.dll; NMOCOD.DLL; OLEPRO32.DLL; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; PTravaRelogio.exe; SAT.exe; Senhas.exe; TrocaWordExcel.exe; Cfx32.ocx; Nmocod.dll; _ISREG32.DLL"
"advapi32.dll","121","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; Backup.exe; BemaMFD.dll; BemaSAT32.dll; BemaSAT64.dll; borlndmm.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; DAO350.DLL; Daruma32_Ant.dll; Daruma32.dll; dbcoed32.dll; dbd32.exe; dbdcrt32.dll; dbdide32.dll; dbdqbe32.dll; dbdsql32.dll; dbdutl32.dll; dbdvw32.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; GDS32.DLL; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LeCamera.exe; libeay32.dll; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; midas.dll; MP2032.DLL; MSJET35.dll; NBioBSP.dll; NFE.exe; NFSe_Util_nat.dll; NMOCOD.DLL; ntwdblib.dll; OLEPRO32.DLL; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; PTravaRelogio.exe; qtintf.dll; qtintf70.dll; SAT.exe; Senhas.exe; TrocaWordExcel.exe; Tutil32.dll; Tutil32.exe; Cfx32.ocx; Nmocod.dll; _ISREG32.DLL"
"ole32.dll","74","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; Backup.exe; BemaMFD.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; DAO350.DLL; Daruma32_Ant.dll; Daruma32.dll; dbd32.exe; dbexpmss.dll; dbsrv32.dll; EnvEmailEquipe.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financeiro.exe; FranLav.exe; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; midas.dll; MSJET35.dll; NFE.exe; NMOCOD.DLL; OLEPRO32.DLL; Parametros.exe; Pcp.exe; PEquPrev6.exe; PTravaRelogio.exe; qtintf.dll; qtintf70.dll; SAT.exe; Senhas.exe; TrocaWordExcel.exe; Nmocod.dll; _ISREG32.DLL"
"gdi32.dll","70","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; AX6R32.DLL; Backup.exe; BemaFI32.dll; BemaMFD.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; dbd32.exe; dbdcrt32.dll; dbdide32.dll; dbdqbe32.dll; dbdutl32.dll; dbdvw32.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; GDS32.DLL; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LeCamera.exe; libeay32.dll; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; NBioBSP.dll; NFE.exe; NMOCOD.DLL; OLEPRO32.DLL; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; PTravaRelogio.exe; qtintf.dll; qtintf70.dll; SAT.exe; Senhas.exe; TrocaWordExcel.exe; Tutil32.exe; Cfx32.ocx; Nmocod.dll"
"comctl32.dll","51","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; Backup.exe; BemaMFD.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; dbd32.exe; dbdide32.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquConfig.exe; EquEstruAtu.exe; EquKill.exe; EquMail.exe; EquManut.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; Idct.exe; ImpAutomLavSoft.exe; LavSoft.exe; LeCamera.exe; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; NBioBSP.dll; NFE.exe; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; PTravaRelogio.exe; SAT.exe; Senhas.exe; TrocaWordExcel.exe"
"version.dll","48","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; Backup.exe; BemaFI32.dll; BemaMFD.dll; BemaSAT32.dll; BemaSAT64.dll; CEP.exe; ChamaExcell.exe; CobreBemX.dll; Conexao.exe; Conexoes.exe; ConfigXP2000.exe; ConnectionODBC.exe; ConvBDEquipe.exe; Daruma32.dll; EnvEmailEquipe.exe; EquConfig.exe; EquEstruAtu.exe; EquMail.exe; EquUnit.exe; Estoque.exe; Expedicao.exe; Financeiro.exe; FranLav.exe; ImpAutomLavSoft.exe; LeCamera.exe; LiveUpdate.exe; lotenfse.dll; LSLavSoft.exe; Lspt.exe; MachLavLoc.exe; NBioBSP.dll; NFE.exe; Parametros.exe; Pcp.exe; PEquPrev6.exe; PTravaRelogio.exe; SAT.exe; Senhas.exe; TrocaWordExcel.exe; _ISREG32.DLL"
"comdlg32.dll","36","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; Backup.exe; BemaMFD.dll; CEP.exe; CobreBemX.dll; Conexoes.exe; dbd32.exe; dbdide32.dll; dbsrv32.dll; EnvEmailEquipe.exe; EqEmail.exe; EquEstruAtu.exe; EquMail.exe; EquManut.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; ImpAutomLavSoft.exe; LavSoft.exe; NFE.exe; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; qtintf.dll; qtintf70.dll; SAT.exe; Senhas.exe; TrocaWordExcel.exe; Tutil32.exe; Cfx32.ocx"
"winspool.drv","35","LavFacilLan.exe; Alerta.exe; Anotacoes.exe; BemaMFD.dll; CEP.exe; CobreBemX.dll; dbsrv32.dll; EnvEmailEquipe.exe; EquEstruAtu.exe; EquManut.exe; Estoque.exe; Expedicao.exe; Financ.exe; Financeiro.exe; FranLav.exe; Idct.exe; LavSoft.exe; NBioBSP.dll; NFE.exe; Parametros.exe; Pcp.exe; PEquPrev2.exe; PEquPrev6.exe; SAT.exe; Senhas.exe; TrocaWordExcel.exe"
