"Source","Target","RelativePath","Extension","Length","LastWriteTime","CopiedAt","ReadOnly"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.DB","CEP\DADOS\CEP_LOG.DB",".DB","2048","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.PX","CEP\DADOS\CEP_LOG.PX",".PX","2048","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.XG0","CEP\DADOS\CEP_LOG.XG0",".XG0","34816","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.XG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.XG1","CEP\DADOS\CEP_LOG.XG1",".XG1","34816","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.XG2","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.XG2","CEP\DADOS\CEP_LOG.XG2",".XG2","34816","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.YG0","CEP\DADOS\CEP_LOG.YG0",".YG0","4096","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.YG1","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.YG1","CEP\DADOS\CEP_LOG.YG1",".YG1","4096","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.YG2","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS\CEP_LOG.YG2","CEP\DADOS\CEP_LOG.YG2",".YG2","4096","15/01/2019 15:52:52","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\DADOS\CadPro.DB","ESC\DADOS\CadPro.DB",".DB","2048","15/01/2019 15:52:44","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\DADOS\CadPro.PX","ESC\DADOS\CadPro.PX",".PX","2048","15/01/2019 15:52:44","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.XG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\DADOS\CadPro.XG0","ESC\DADOS\CadPro.XG0",".XG0","34816","15/01/2019 15:52:44","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.YG0","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\DADOS\CadPro.YG0","ESC\DADOS\CadPro.YG0",".YG0","4096","15/01/2019 15:52:44","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAlu.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadAlu.DB","ESC\FILIAL\CadAlu.DB",".DB","2048","15/01/2019 15:52:26","23/05/2026 11:30:56","True"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAlu.PX","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL\CadAlu.PX","ESC\FILIAL\CadAlu.PX",".PX","2048","15/01/2019 15:52:26","23/05/2026 11:30:56","True"
