"TableName","RelativePath","ColumnName","Ordinal","TypeName","DataType","ColumnSize","DecimalDigits","Nullable","DefaultValue"
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","CHAVE_LOG","0",,"System.String","16","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","NOME_LOG","1",,"System.String","120","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","CHVLOCAL_LOG","2",,"System.String","12","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","CHVBAI1_LOG","3",,"System.String","10","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","CHVBAI2_LOG","4",,"System.String","10","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","CEP8_LOG","5",,"System.String","16","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","UF_LOG","6",,"System.String","4","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","CHVTIPO_LOG","7",,"System.String","6","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","COMPLE_LOG","8",,"System.String","130","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","REOP_LOG","9",,"System.String","4","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","OPER_LOG","10",,"System.String","2","0","True",""
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","DATA_LOG","11",,"System.String","16","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","CodPro","0",,"System.String","10","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","NomPro","1",,"System.String","60","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","EndPro","2",,"System.String","60","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","CidPro","3",,"System.String","40","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","EstPro","4",,"System.String","4","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","CepPro","5",,"System.String","18","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","TelPro","6",,"System.String","30","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","DddPro","7",,"System.String","6","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","DatNas","8",,"System.DateTime","8","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","HorAul0","9",,"System.Double","8","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","HorAul","10",,"System.Double","8","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","HorAul2","11",,"System.Double","8","0","True",""
"CadPro","ESC\DADOS\CadPro.DB","HorAul3","12",,"System.Double","8","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","CodCont","0",,"System.Int32","4","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","NomAlu","1",,"System.String","80","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","EndAlu","2",,"System.String","80","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","CidAlu","3",,"System.String","40","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","EstAlu","4",,"System.String","4","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","CepAlu","5",,"System.String","30","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","DatNas","6",,"System.DateTime","8","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","TelAluR","7",,"System.String","30","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","TelAluC","8",,"System.String","30","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","ComTelC","9",,"System.String","40","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","AluMaior","10",,"System.String","2","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","CodCli","11",,"System.String","20","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","SexAlu","12",,"System.String","2","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","RgAlu","13",,"System.String","30","0","True",""
"CadAlu","ESC\FILIAL\CadAlu.DB","CicAlu","14",,"System.String","30","0","True",""
