"TableName","RelativePath","Directory","Length","Error","ExtractedAt"
"PedConfItemICMS","EST\FILIAL\PedConfItemICMS.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:56"
"Thumbs","Figuras\Thumbs.db","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Figuras","107008","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [42S02] [Microsoft][Driver ODBC para Paradox] The Microsoft Jet database engine could not find the object 'Thumbs'.  Make sure the object exists and that you spell its name and the path name correctly.""","23/05/2026 11:38:58"
"CEP_LOG","Filiais\MOVANTIGA\CEP\DADOS\CEP_LOG.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\CEP\DADOS","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadPro","Filiais\MOVANTIGA\ESC\DADOS\CadPro.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\DADOS","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadAlu","Filiais\MOVANTIGA\ESC\FILIAL\CadAlu.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadAul","Filiais\MOVANTIGA\ESC\FILIAL\CadAul.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadCur","Filiais\MOVANTIGA\ESC\FILIAL\CadCur.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadInt","Filiais\MOVANTIGA\ESC\FILIAL\CadInt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadMat","Filiais\MOVANTIGA\ESC\FILIAL\CadMat.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
"CadMatComp","Filiais\MOVANTIGA\ESC\FILIAL\CadMatComp.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\Filiais\MOVANTIGA\ESC\FILIAL","2048","Exceção ao chamar ""ExecuteReader"" com ""0"" argumento(s): ""ERROR [HY000] [Microsoft][Driver ODBC para Paradox] Unexpected error from external database driver (9499).""","23/05/2026 11:38:58"
