"TableName","RelativePath","Directory","Length","ColumnCount","Extracted","ExtractedAt"
"CEP_LOG","CEP\DADOS\CEP_LOG.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\CEP\DADOS","2048","12","True","23/05/2026 11:38:52"
"CadPro","ESC\DADOS\CadPro.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\DADOS","2048","13","True","23/05/2026 11:38:52"
"CadAlu","ESC\FILIAL\CadAlu.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","26","True","23/05/2026 11:38:52"
"CadAul","ESC\FILIAL\CadAul.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","11","True","23/05/2026 11:38:52"
"CadCur","ESC\FILIAL\CadCur.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","6","True","23/05/2026 11:38:52"
"CadInt","ESC\FILIAL\CadInt.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","26","True","23/05/2026 11:38:52"
"CadMat","ESC\FILIAL\CadMat.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","3","True","23/05/2026 11:38:52"
"CadMatComp","ESC\FILIAL\CadMatComp.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","4","True","23/05/2026 11:38:53"
"CadNot","ESC\FILIAL\CadNot.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","5","True","23/05/2026 11:38:53"
"CadPre","ESC\FILIAL\CadPre.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","3","True","23/05/2026 11:38:53"
"CadRes","ESC\FILIAL\CadRes.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","34","True","23/05/2026 11:38:53"
"CadTur","ESC\FILIAL\CadTur.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","16","True","23/05/2026 11:38:53"
"CompTurmas","ESC\FILIAL\CompTurmas.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","13","True","23/05/2026 11:38:53"
"MovPdv","ESC\FILIAL\MovPdv.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","11","True","23/05/2026 11:38:53"
"NotasEsc","ESC\FILIAL\NotasEsc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","16","True","23/05/2026 11:38:53"
"NotCompEsc","ESC\FILIAL\NotCompEsc.DB","D:\AtelieProd\MOD\data\original-readonly\Equipexe\ESC\FILIAL","2048","8","True","23/05/2026 11:38:53"
