"FullName","DirectoryName","Name","Extension","Length","LastWriteTime"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.DB","D:\AtelieProd\Equipexe\CEP\DADOS","CEP_LOG.DB",".DB","2048","15/01/2019 15:52:52"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.PX","D:\AtelieProd\Equipexe\CEP\DADOS","CEP_LOG.PX",".PX","2048","15/01/2019 15:52:52"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.XG0","D:\AtelieProd\Equipexe\CEP\DADOS","CEP_LOG.XG0",".XG0","34816","15/01/2019 15:52:52"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.XG1","D:\AtelieProd\Equipexe\CEP\DADOS","CEP_LOG.XG1",".XG1","34816","15/01/2019 15:52:52"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.YG0","D:\AtelieProd\Equipexe\CEP\DADOS","CEP_LOG.YG0",".YG0","4096","15/01/2019 15:52:52"
"D:\AtelieProd\Equipexe\CEP\DADOS\CEP_LOG.YG1","D:\AtelieProd\Equipexe\CEP\DADOS","CEP_LOG.YG1",".YG1","4096","15/01/2019 15:52:52"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.DB","D:\AtelieProd\Equipexe\ESC\DADOS","CadPro.DB",".DB","2048","15/01/2019 15:52:44"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.PX","D:\AtelieProd\Equipexe\ESC\DADOS","CadPro.PX",".PX","2048","15/01/2019 15:52:44"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.XG0","D:\AtelieProd\Equipexe\ESC\DADOS","CadPro.XG0",".XG0","34816","15/01/2019 15:52:44"
"D:\AtelieProd\Equipexe\ESC\DADOS\CadPro.YG0","D:\AtelieProd\Equipexe\ESC\DADOS","CadPro.YG0",".YG0","4096","15/01/2019 15:52:44"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAlu.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadAlu.DB",".DB","2048","15/01/2019 15:52:26"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAlu.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadAlu.PX",".PX","2048","15/01/2019 15:52:26"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAlu.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadAlu.XG0",".XG0","34816","15/01/2019 15:52:26"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAlu.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadAlu.YG0",".YG0","4096","15/01/2019 15:52:26"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAul.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadAul.DB",".DB","2048","15/01/2019 15:52:26"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadAul.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadAul.PX",".PX","2048","15/01/2019 15:52:26"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadCur.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadCur.DB",".DB","2048","15/01/2019 15:52:30"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadCur.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadCur.PX",".PX","2048","15/01/2019 15:52:30"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadInt.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadInt.DB",".DB","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadInt.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadInt.PX",".PX","2048","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadInt.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadInt.XG0",".XG0","34816","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadInt.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadInt.YG0",".YG0","4096","15/01/2019 15:52:36"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMat.DB",".DB","2048","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMat.PX",".PX","2048","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMat.XG0",".XG0","34816","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMat.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMat.YG0",".YG0","4096","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMatComp.DB",".DB","2048","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMatComp.PX",".PX","2048","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMatComp.XG0",".XG0","34816","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadMatComp.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadMatComp.YG0",".YG0","4096","15/01/2019 15:52:40"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadNot.DB",".DB","2048","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadNot.PX",".PX","2048","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadNot.XG0",".XG0","34816","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadNot.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadNot.YG0",".YG0","4096","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadPre.DB",".DB","2048","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadPre.PX",".PX","2048","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadPre.XG0",".XG0","34816","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.XG1","D:\AtelieProd\Equipexe\ESC\FILIAL","CadPre.XG1",".XG1","34816","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadPre.YG0",".YG0","4096","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadPre.YG1","D:\AtelieProd\Equipexe\ESC\FILIAL","CadPre.YG1",".YG1","4096","15/01/2019 15:52:42"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadRes.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadRes.DB",".DB","2048","15/01/2019 15:52:44"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadRes.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadRes.PX",".PX","2048","15/01/2019 15:52:44"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CadTur.DB",".DB","2048","15/01/2019 15:52:48"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CadTur.PX",".PX","2048","15/01/2019 15:52:48"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadTur.XG0",".XG0","34816","15/01/2019 15:52:48"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CadTur.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CadTur.YG0",".YG0","4096","15/01/2019 15:52:48"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","CompTurmas.DB",".DB","2048","15/01/2019 15:53:02"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","CompTurmas.PX",".PX","2048","15/01/2019 15:53:02"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CompTurmas.XG0",".XG0","34816","15/01/2019 15:53:02"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.XG1","D:\AtelieProd\Equipexe\ESC\FILIAL","CompTurmas.XG1",".XG1","34816","15/01/2019 15:53:02"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","CompTurmas.YG0",".YG0","4096","15/01/2019 15:53:02"
"D:\AtelieProd\Equipexe\ESC\FILIAL\CompTurmas.YG1","D:\AtelieProd\Equipexe\ESC\FILIAL","CompTurmas.YG1",".YG1","4096","15/01/2019 15:53:02"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","MovPdv.DB",".DB","2048","15/01/2019 15:53:54"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","MovPdv.PX",".PX","2048","15/01/2019 15:53:54"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","MovPdv.XG0",".XG0","34816","15/01/2019 15:53:54"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.XG1","D:\AtelieProd\Equipexe\ESC\FILIAL","MovPdv.XG1",".XG1","34816","15/01/2019 15:53:54"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","MovPdv.YG0",".YG0","4096","15/01/2019 15:53:54"
"D:\AtelieProd\Equipexe\ESC\FILIAL\MovPdv.YG1","D:\AtelieProd\Equipexe\ESC\FILIAL","MovPdv.YG1",".YG1","4096","15/01/2019 15:53:54"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","NotasEsc.DB",".DB","2048","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","NotasEsc.PX",".PX","2048","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","NotasEsc.XG0",".XG0","34816","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.XG1","D:\AtelieProd\Equipexe\ESC\FILIAL","NotasEsc.XG1",".XG1","34816","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","NotasEsc.YG0",".YG0","4096","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotasEsc.YG1","D:\AtelieProd\Equipexe\ESC\FILIAL","NotasEsc.YG1",".YG1","4096","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.DB","D:\AtelieProd\Equipexe\ESC\FILIAL","NotCompEsc.DB",".DB","2048","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.PX","D:\AtelieProd\Equipexe\ESC\FILIAL","NotCompEsc.PX",".PX","2048","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.XG0","D:\AtelieProd\Equipexe\ESC\FILIAL","NotCompEsc.XG0",".XG0","34816","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\ESC\FILIAL\NotCompEsc.YG0","D:\AtelieProd\Equipexe\ESC\FILIAL","NotCompEsc.YG0",".YG0","4096","15/01/2019 15:54:16"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClaEst.DB","D:\AtelieProd\Equipexe\EST\DADOS","CadClaEst.DB",".DB","2048","15/01/2019 15:52:28"
"D:\AtelieProd\Equipexe\EST\DADOS\CadClaEst.PX","D:\AtelieProd\Equipexe\EST\DADOS","CadClaEst.PX",".PX","2048","15/01/2019 15:52:28"
