"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","DatCad","HorCad","ResUsuario"
"","ATENDJR","QL001","LAVSOFT","","AnaMovDia1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","Anotacoes1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFAbertura1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFDestravaImpressoraFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFFechamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFFechamentoParcial1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFFundodeCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFHorarioVerao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFLeituraMemriaFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFLeituraX1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CFSangriaCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CaixaDiaDia1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CancAdi","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CancPag","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","Cancelamento2","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CancelamentoNotaFiscal1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CancelamentodaNota1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CancelamentodeNotasIntervalo1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","Caractersticas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CartadeCobranca1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","ComissaoPagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","ComissoRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CondicaodePagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","ControledeCaixa1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","ControledeLavagem1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","ControledeMetas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","Cores1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","CreditosemAberto1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:13",""
"","ATENDJR","QL001","LAVSOFT","","Criticas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Custos1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Defeitos1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","DescontoPorc1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","DescontoporValor1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","DescontosnoRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Devoluo1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","DevoluoPagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Ed_PorcDescontoPag","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Ed_ValPag","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","EmissaodeCartao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Encerramento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","EncerramentoParcial1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","EntradaEstoque1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","EntradaRol1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","EnviaEmail1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Etiquetas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","ExcluiConfiguraoColunas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Faturamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Feriados1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","FiliaisMatriz1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","FormadePagamento1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","GravaColunas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","GrupoEntradas1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Importacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Listagem1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
"","ATENDJR","QL001","LAVSOFT","","Localizacao1","","","","","17/04/2008 00:00:00","30/12/1899 10:13:14",""
