"Tipo","CodUsuario","CodFil","CodSistema","Rotina","Op","NivelI","NivelA","NivelE","NivelT","ResUsuario"
"","ATENDJR","QL001","LAVSOFT","","AnaMovDia1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Anotacoes1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFAbertura1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFDestravaImpressoraFiscal1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFFechamento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFFechamentoParcial1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFFundodeCaixa1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFHorarioVerao1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFLeituraMemriaFiscal1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFLeituraX1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CFSangriaCaixa1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CaixaDiaDia1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CancAdi","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CancPag","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Cancelamento2","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CancelamentoNotaFiscal1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CancelamentodaNota1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CancelamentodeNotasIntervalo1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Caractersticas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CartadeCobranca1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ComissaoPagamento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ComissoRol1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CondicaodePagamento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ControledeCaixa1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ControledeLavagem1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ControledeMetas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Cores1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","CreditosemAberto1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Criticas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Custos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Defeitos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","DescontoPorc1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","DescontoporValor1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","DescontosnoRol1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Devoluo1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","DevoluoPagamento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Ed_PorcDescontoPag","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Ed_ValPag","","","","",""
"","ATENDJR","QL001","LAVSOFT","","EmissaodeCartao1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Encerramento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","EncerramentoParcial1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","EntradaEstoque1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","EntradaRol1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","EnviaEmail1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Etiquetas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ExcluiConfiguraoColunas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Faturamento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Feriados1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","FiliaisMatriz1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","FormadePagamento1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","GravaColunas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","GrupoEntradas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Importacao1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Listagem1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Localizacao1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","LogSistema1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MalaDiretaRemetente1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Manutencao1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Marcas1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MenuEntradaRol1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovGrupoClientes1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovProAna1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovProAnaSer1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovProSin1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovProdServ1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoAnalitico1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoAnaliticoEntrada1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoEntradaSaidaSinttico1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoPorServicoSintetico1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoPorServicosExecutados1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoPorServicosPeso1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoProduto1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoProdutoMensal1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoResumidoNotaFiscal1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoServicoMensal1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoSintetico1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoSintticoEntrada1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","MovimentoporDiadeSemana1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Parametros1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","Passadoria1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","PgtosporTabela1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","PontosEntregues1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","PrevisoEntrega1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ROlsPagos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RSL1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","ReciboCaixa1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelControlePontos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelEstoquenoCli1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelFatPrecos1","","","","",""
"","ATENDJR","QL001","LAVSOFT","","RelFreCli1","","","","",""
