Executavel,ProcessName,ModuleName,FileName,Criticidade,Categoria,Observacao
Estoque.exe,Estoque,Estoque.exe,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Estoque.exe,media,mod/runtime MOD,observado_em_runtime_MOD
Estoque.exe,Estoque,ntdll.dll,C:\WINDOWS\SYSTEM32\ntdll.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,KERNEL32.DLL,C:\WINDOWS\System32\KERNEL32.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,KERNELBASE.dll,C:\WINDOWS\System32\KERNELBASE.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,apphelp.dll,C:\WINDOWS\SYSTEM32\apphelp.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,user32.dll,C:\WINDOWS\System32\user32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,win32u.dll,C:\WINDOWS\System32\win32u.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,GDI32.dll,C:\WINDOWS\System32\GDI32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,gdi32full.dll,C:\WINDOWS\System32\gdi32full.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,msvcp_win.dll,C:\WINDOWS\System32\msvcp_win.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,ucrtbase.dll,C:\WINDOWS\System32\ucrtbase.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,advapi32.dll,C:\WINDOWS\System32\advapi32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,msvcrt.dll,C:\WINDOWS\System32\msvcrt.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,sechost.dll,C:\WINDOWS\System32\sechost.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,RPCRT4.dll,C:\WINDOWS\System32\RPCRT4.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,oleaut32.dll,C:\WINDOWS\System32\oleaut32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,combase.dll,C:\WINDOWS\System32\combase.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,ole32.dll,C:\WINDOWS\System32\ole32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,version.dll,C:\WINDOWS\SYSTEM32\version.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,shell32.dll,C:\WINDOWS\System32\shell32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,comctl32.dll,C:\WINDOWS\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.26100.8328_none_cf9c156c8ea8f6e3\comctl32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,winspool.drv,C:\WINDOWS\SYSTEM32\winspool.drv,alta,impressao,observado_em_runtime_MOD
Estoque.exe,Estoque,comdlg32.dll,C:\WINDOWS\System32\comdlg32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,shcore.dll,C:\WINDOWS\System32\shcore.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,SHLWAPI.dll,C:\WINDOWS\System32\SHLWAPI.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,cfgmgr32.dll,C:\WINDOWS\SYSTEM32\cfgmgr32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,Windows.Storage.dll,C:\WINDOWS\System32\Windows.Storage.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wininet.dll,C:\WINDOWS\SYSTEM32\wininet.dll,alta,rede/protocolo,observado_em_runtime_MOD
Estoque.exe,Estoque,winmm.dll,C:\WINDOWS\SYSTEM32\winmm.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,IMM32.DLL,C:\WINDOWS\System32\IMM32.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,uxtheme.dll,C:\WINDOWS\system32\uxtheme.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,RTSSHooks.dll,C:\Program Files (x86)\RivaTuner Statistics Server\RTSSHooks.dll,baixa,outro,observado_em_runtime_MOD
Estoque.exe,Estoque,SETUPAPI.dll,C:\WINDOWS\System32\SETUPAPI.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,MSCTF.dll,C:\WINDOWS\System32\MSCTF.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,olepro32.dll,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\olepro32.dll,alta,runtime legado,observado_em_runtime_MOD
Estoque.exe,Estoque,security.dll,C:\WINDOWS\SYSTEM32\security.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,SECUR32.DLL,C:\WINDOWS\SYSTEM32\SECUR32.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,SSPICLI.DLL,C:\WINDOWS\SYSTEM32\SSPICLI.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,kernel.appcore.dll,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,bcryptPrimitives.dll,C:\WINDOWS\System32\bcryptPrimitives.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,TextShaping.dll,C:\WINDOWS\SYSTEM32\TextShaping.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,comctl32.DLL,C:\WINDOWS\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8328_none_85b54f03f7b0df7e\comctl32.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,iertutil.dll,C:\WINDOWS\SYSTEM32\iertutil.dll,alta,rede/protocolo,observado_em_runtime_MOD
Estoque.exe,Estoque,netutils.dll,C:\WINDOWS\SYSTEM32\netutils.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,srvcli.dll,C:\WINDOWS\SYSTEM32\srvcli.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,RICHED32.DLL,C:\WINDOWS\SYSTEM32\RICHED32.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,RICHED20.dll,C:\WINDOWS\SYSTEM32\RICHED20.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,USP10.dll,C:\WINDOWS\SYSTEM32\USP10.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,msls31.dll,C:\WINDOWS\SYSTEM32\msls31.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,clbcatq.dll,C:\WINDOWS\System32\clbcatq.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,dataexchange.dll,C:\WINDOWS\system32\dataexchange.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,twinapi.appcore.dll,C:\WINDOWS\system32\twinapi.appcore.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,IDAPI32.DLL,C:\Program Files (x86)\Borland\Common Files\BDE\IDAPI32.DLL,critica,banco/BDE,observado_em_runtime_MOD
Estoque.exe,Estoque,MPR.dll,C:\WINDOWS\SYSTEM32\MPR.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,IDR20009.DLL,C:\Program Files (x86)\Borland\Common Files\BDE\IDR20009.DLL,critica,banco/BDE,observado_em_runtime_MOD
Estoque.exe,Estoque,BANTAM.DLL,C:\Program Files (x86)\Borland\Common Files\BDE\BANTAM.DLL,critica,banco/BDE,observado_em_runtime_MOD
Estoque.exe,Estoque,IDPDX32.DLL,C:\Program Files (x86)\Borland\Common Files\BDE\IDPDX32.DLL,critica,banco/BDE,observado_em_runtime_MOD
Estoque.exe,Estoque,odbc32.DLL,C:\WINDOWS\SYSTEM32\odbc32.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,CRYPT32.dll,C:\WINDOWS\System32\CRYPT32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,DPAPI.DLL,C:\WINDOWS\SYSTEM32\DPAPI.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,textinputframework.dll,C:\WINDOWS\SYSTEM32\textinputframework.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,CoreMessaging.dll,C:\WINDOWS\SYSTEM32\CoreMessaging.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,CoreUIComponents.dll,C:\WINDOWS\SYSTEM32\CoreUIComponents.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wintypes.dll,C:\WINDOWS\SYSTEM32\wintypes.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,CRYPTBASE.DLL,C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,Oleacc.dll,C:\WINDOWS\system32\Oleacc.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,profapi.dll,C:\WINDOWS\SYSTEM32\profapi.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,WS2_32.dll,C:\WINDOWS\System32\WS2_32.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,ondemandconnroutehelper.dll,C:\WINDOWS\SYSTEM32\ondemandconnroutehelper.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,WINHTTP.dll,C:\WINDOWS\SYSTEM32\WINHTTP.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,IPHLPAPI.DLL,C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,mswsock.dll,C:\WINDOWS\system32\mswsock.dll,alta,rede/protocolo,observado_em_runtime_MOD
Estoque.exe,Estoque,NSI.dll,C:\WINDOWS\System32\NSI.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,WINNSI.DLL,C:\WINDOWS\SYSTEM32\WINNSI.DLL,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,msxml3.dll,C:\WINDOWS\System32\msxml3.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,bcrypt.dll,C:\WINDOWS\System32\bcrypt.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,urlmon.dll,C:\WINDOWS\SYSTEM32\urlmon.dll,alta,rede/protocolo,observado_em_runtime_MOD
Estoque.exe,Estoque,DNSAPI.dll,C:\WINDOWS\SYSTEM32\DNSAPI.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,mdnsNSP.dll,C:\Program Files (x86)\Bonjour\mdnsNSP.dll,baixa,outro,observado_em_runtime_MOD
Estoque.exe,Estoque,rasadhlp.dll,C:\Windows\System32\rasadhlp.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,fwpuclnt.dll,C:\WINDOWS\System32\fwpuclnt.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wow64.dll,C:\WINDOWS\System32\wow64.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wow64base.dll,C:\WINDOWS\System32\wow64base.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wow64win.dll,C:\WINDOWS\System32\wow64win.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wow64con.dll,C:\WINDOWS\System32\wow64con.dll,media,windows,observado_em_runtime_MOD
Estoque.exe,Estoque,wow64cpu.dll,C:\WINDOWS\System32\wow64cpu.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,Financeiro.exe,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Financeiro.exe,media,mod/runtime MOD,observado_em_runtime_MOD
Financeiro.exe,Financeiro,ntdll.dll,C:\WINDOWS\SYSTEM32\ntdll.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,KERNEL32.DLL,C:\WINDOWS\System32\KERNEL32.DLL,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,KERNELBASE.dll,C:\WINDOWS\System32\KERNELBASE.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,apphelp.dll,C:\WINDOWS\SYSTEM32\apphelp.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,user32.dll,C:\WINDOWS\System32\user32.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,win32u.dll,C:\WINDOWS\System32\win32u.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,GDI32.dll,C:\WINDOWS\System32\GDI32.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,gdi32full.dll,C:\WINDOWS\System32\gdi32full.dll,media,windows,observado_em_runtime_MOD
Financeiro.exe,Financeiro,msvcp_win.dll,C:\WINDOWS\System32\msvcp_win.dll,media,windows,observado_em_runtime_MOD
