CodUsuarioOuPerfilLegado,CodFilial,CodSistema,OperacaoLegado,NivelI,NivelA,NivelE,NivelT,Area,Criticidade,PermissaoNovaSugerida,StatusEvidencia
ATENDJR,QL001,LAVSOFT,AnaMovDia1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Anotacoes1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFAbertura1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFDestravaImpressoraFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFFechamento1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFFechamentoParcial1,,,,,financeira,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFFundodeCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFHorarioVerao1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFLeituraMemriaFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFLeituraX1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CFSangriaCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CaixaDiaDia1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CancAdi,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CancPag,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Cancelamento2,,,,,operacional,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CancelamentoNotaFiscal1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CancelamentodaNota1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CancelamentodeNotasIntervalo1,,,,,fiscal,critica,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,Caractersticas1,,,,,operacional,baixa,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CartadeCobranca1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ComissaoPagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ComissoRol1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,CondicaodePagamento1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ControledeCaixa1,,,,,financeira,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ControledeLavagem1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
ATENDJR,QL001,LAVSOFT,ControledeMetas1,,,,,operacional,alta,,confirmado por schema; semantica I/A/E/T pendente
