UsuarioOuPerfil,PerfilNovoSugerido,Tela,BotaoOuMenu,Acao,Tabela,PermissaoLegado,Area,Criticidade,StatusEvidencia
a validar por Nivel/usuario,,Altera Cliente,Altera Cliente,alteracao,a validar,AlteraCliente1,operacional,media,confirmado por UI
a validar por Nivel/usuario,,AlteraCliente1,AlteraCliente1,alteracao,a validar,AlteraCliente1,operacional,media,confirmado por UI
a validar por Nivel/usuario,,AlteraCliente18,AlteraCliente18,alteracao,a validar,AlteraCliente1,operacional,media,confirmado por UI
a validar por Nivel/usuario,,AlteraCliente1Click,AlteraCliente1Click,alteracao,a validar,AlteraCliente1,operacional,media,confirmado por UI
a validar por Nivel/usuario,,AlteraCliente1Click$,AlteraCliente1Click$,alteracao,a validar,AlteraCliente1,operacional,media,confirmado por UI
a validar por Nivel/usuario,,AlteraodeProdutos1,AlteraodeProdutos1,alteracao,a validar,Alterao1,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,AlteraodeProdutos1,AlteraodeProdutos1,alteracao,a validar,Alterao1,estoque,alta,confirmado por UI
a validar por Nivel/usuario,,:\EquipExe\Exe\Anotacoes.Exe,:\EquipExe\Exe\Anotacoes.Exe,consulta/abre tela,a validar,Anotacoes1,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,\Anotacoes,\Anotacoes,consulta/abre tela,a validar,Anotacoes1,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"\Anotacoes"" A","\Anotacoes"" A",consulta/abre tela,a validar,Anotacoes1,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Anotacoes,Anotacoes,consulta/abre tela,a validar,Anotacoes1,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Anotacoes1,Anotacoes1,consulta/abre tela,a validar,Anotacoes1,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,CaixaDiaDia1,CaixaDiaDia1,consulta/abre tela,a validar,CaixaDiaDia1,financeira,alta,confirmado por UI
a validar por Nivel/usuario,,CaixaDiaDia14,CaixaDiaDia14,consulta/abre tela,a validar,CaixaDiaDia1,financeira,alta,confirmado por UI
a validar por Nivel/usuario,,CaixaDiaDia1Click,CaixaDiaDia1Click,consulta/abre tela,a validar,CaixaDiaDia1,financeira,alta,confirmado por UI
a validar por Nivel/usuario,,Fechamento de Caixa Dia/Dia,Fechamento de Caixa Dia/Dia,financeiro/fechamento,a validar,CaixaDiaDia1,financeira,critica,confirmado por UI
a validar por Nivel/usuario,,Movimento de Caixa Dia/Dia,Movimento de Caixa Dia/Dia,consulta/abre tela,a validar,CaixaDiaDia1,financeira,alta,confirmado por UI
a validar por Nivel/usuario,,"- use o Cancelamento do Pagamento, Tecle Enter para Continuar","- use o Cancelamento do Pagamento, Tecle Enter para Continuar",cancelamento/exclusao,a validar,Cancelamento2,financeira,critica,confirmado por UI
a validar por Nivel/usuario,,"""Cancelamento de Notas (Intervalo)","""Cancelamento de Notas (Intervalo)",cancelamento/exclusao,a validar,Cancelamento2,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"""CancelamentodeNotasIntervalo1Click","""CancelamentodeNotasIntervalo1Click",cancelamento/exclusao,a validar,Cancelamento2,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,"""CancelamentodoUltimoEncerramCaixa1(","""CancelamentodoUltimoEncerramCaixa1(",cancelamento/exclusao,a validar,Cancelamento2,financeira,critica,confirmado por UI
a validar por Nivel/usuario,,)Bloqueia Cancelamento (Usuario Digitador),)Bloqueia Cancelamento (Usuario Digitador),cancelamento/exclusao,a validar,Cancelamento2,administrativa,critica,confirmado por UI
a validar por Nivel/usuario,,Cancelamento da Nota,Cancelamento da Nota,cancelamento/exclusao,a validar,CancelamentodaNota1,fiscal,critica,confirmado por UI
a validar por Nivel/usuario,,Cancelamento da Nota Fiscal,Cancelamento da Nota Fiscal,cancelamento/exclusao,a validar,CancelamentodaNota1,fiscal,critica,confirmado por UI
