"Executavel","Categoria","Texto"
"EquEstruAtu.exe","atualizacao","CachedUpdates"
"EquEstruAtu.exe","comunicacao-remota","URLDownloadToCacheFileA"
"Estoque.exe","atualizacao","CachedUpdates"
"Estoque.exe","comunicacao-remota","URLDownloadToCacheFileA"
"Financeiro.exe","autenticacao-permissao","-Grupo: "
"Financeiro.exe","autenticacao-permissao","-Grupo2: "
"Financeiro.exe","autenticacao-permissao","-Grupo3: "
"Financeiro.exe","autenticacao-permissao","-Grupo4: "
"Financeiro.exe","autenticacao-permissao","-Ordem: Grupo"
"Financeiro.exe","autenticacao-permissao","(Grupo = '"
"Financeiro.exe","autenticacao-permissao",")or(Grupo = "
"Financeiro.exe","autenticacao-permissao","c_DigitaSenha"
"Financeiro.exe","atualizacao","CachedUpdates"
"Financeiro.exe","autenticacao-permissao","Cadastro de Grupo (Campos Flexiveis)"
"Financeiro.exe","autenticacao-permissao","Cadastro de Grupo 1 "
"Financeiro.exe","autenticacao-permissao","Cadastro de Grupo 2 "
"Financeiro.exe","autenticacao-permissao","Cadastro de Grupo 3"
"Financeiro.exe","autenticacao-permissao","Cadastro de Grupo 4"
"Financeiro.exe","autenticacao-permissao","CodUsuario"
"Financeiro.exe","autenticacao-permissao","ConfigUsuario"
"Financeiro.exe","autenticacao-permissao","CorGrupo"
"Financeiro.exe","autenticacao-permissao","CorGrupoF"
"Financeiro.exe","autenticacao-permissao","DBLCB_CodUsuario,"
"Financeiro.exe","autenticacao-permissao","DBLCB_CodUsuarioDropDown"
"Financeiro.exe","autenticacao-permissao","DBLCB_CodUsuarioEnter"
"Financeiro.exe","autenticacao-permissao","DBLCB_CodUsuarioExit"
"Financeiro.exe","autenticacao-permissao","DBLCB_CodUsuarioKeyPress"
"Financeiro.exe","autenticacao-permissao","DBLCB_ResUsuario"
"Financeiro.exe","autenticacao-permissao","DBLCB_ResUsuarioEnter"
"Financeiro.exe","autenticacao-permissao","DBLCB_ResUsuarioExit"
"Financeiro.exe","autenticacao-permissao","DesGrupo"
"Financeiro.exe","autenticacao-permissao","DS_Usuarios$"
"Financeiro.exe","autenticacao-permissao","DS_Usuarios4"
"Financeiro.exe","autenticacao-permissao","Ed_Senha"
"Financeiro.exe","autenticacao-permissao","Ed_SenhaEnter"
"Financeiro.exe","autenticacao-permissao","Ed_SenhaExit"
"Financeiro.exe","autenticacao-permissao","Ed_SenhaKeyPress"
"Financeiro.exe","autenticacao-permissao","Ed_UsuSenhaSMTP"
"Financeiro.exe","autenticacao-permissao","ENTRADA NO SISTEMA - DIGITADA SENHA"
"Financeiro.exe","autenticacao-permissao","Grupo"
"Financeiro.exe","autenticacao-permissao","Grupo (Campos Flexiveis)"
"Financeiro.exe","autenticacao-permissao","Grupo 1"
"Financeiro.exe","autenticacao-permissao","Grupo 2"
"Financeiro.exe","autenticacao-permissao","Grupo 2 n"
"Financeiro.exe","autenticacao-permissao","Grupo 3"
"Financeiro.exe","autenticacao-permissao","Grupo 4"
"Financeiro.exe","autenticacao-permissao","Grupo 4 n"
"Financeiro.exe","autenticacao-permissao","Grupo de Cliente n"
"Financeiro.exe","autenticacao-permissao","Grupo de Clientes"
"Financeiro.exe","autenticacao-permissao","Grupo de Fornecedores"
"Financeiro.exe","autenticacao-permissao","Grupo Fornecedores"
"Financeiro.exe","autenticacao-permissao","Grupo n"
"Financeiro.exe","autenticacao-permissao","Grupo11Click"
"Financeiro.exe","autenticacao-permissao","Grupo11H"
"Financeiro.exe","autenticacao-permissao","Grupo2 de Cliente n"
"Financeiro.exe","autenticacao-permissao","Grupo21Click"
"Financeiro.exe","autenticacao-permissao","Grupo21P"
"Financeiro.exe","autenticacao-permissao","Grupo3 de Cliente n"
"Financeiro.exe","autenticacao-permissao","Grupo31Click"
"Financeiro.exe","autenticacao-permissao","Grupo31T"
"Financeiro.exe","autenticacao-permissao","Grupo41Click"
"Financeiro.exe","autenticacao-permissao","Grupo41X"
"Financeiro.exe","autenticacao-permissao","GrupodeCamposFlexiveis1Click"
"Financeiro.exe","autenticacao-permissao","GrupodeCamposFlexiveis1t"
"Financeiro.exe","autenticacao-permissao","Grupos1L"
"Financeiro.exe","autenticacao-permissao","GruUsuario"
"Financeiro.exe","autenticacao-permissao","iDesGrupo"
"Financeiro.exe","autenticacao-permissao","iDesGrupo2"
"Financeiro.exe","autenticacao-permissao","iDesGrupo3"
"Financeiro.exe","autenticacao-permissao","iDesGrupo4"
"Financeiro.exe","autenticacao-permissao","Im_Senha"
"Financeiro.exe","autenticacao-permissao","iNomUsuario"
"Financeiro.exe","autenticacao-permissao","Lb_Grupo"
"Financeiro.exe","autenticacao-permissao","Lb_GrupoP"
"Financeiro.exe","autenticacao-permissao","Lb_TitSenha"
"Financeiro.exe","autenticacao-permissao","N2Grupo1Click"
"Financeiro.exe","autenticacao-permissao","N2Grupo1t"
"Financeiro.exe","autenticacao-permissao","N3Grupo1Click"
"Financeiro.exe","autenticacao-permissao","N3Grupo1x"
"Financeiro.exe","autenticacao-permissao","N4Grupo1|"
"Financeiro.exe","autenticacao-permissao","N4Grupo1Click"
"Financeiro.exe","autenticacao-permissao","NomUsuario"
"Financeiro.exe","autenticacao-permissao","O Usuario "
"Financeiro.exe","autenticacao-permissao","ObsGrupo"
"Financeiro.exe","autenticacao-permissao","ParUsuario"
"Financeiro.exe","autenticacao-permissao","Pn_Grupo"
"Financeiro.exe","autenticacao-permissao","Pn_Grupo2"
"Financeiro.exe","autenticacao-permissao","Pn_Grupo3"
"Financeiro.exe","autenticacao-permissao","Pn_Grupo4"
"Financeiro.exe","autenticacao-permissao","Pn_Grupo4 "
"Financeiro.exe","autenticacao-permissao","Pn_Grupo4|"
"Financeiro.exe","autenticacao-permissao","ResUsuario"
"Financeiro.exe","autenticacao-permissao","Senha"
"Financeiro.exe","autenticacao-permissao","Senha Incorreta"
"Financeiro.exe","autenticacao-permissao","SenhaEnabled"
"Financeiro.exe","autenticacao-permissao","Tb_ClientesResUsuario"
"Financeiro.exe","autenticacao-permissao","Tb_DuplicataUsuario\"
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo1"
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo2"
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo3 "
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo4$"
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo5("
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo6,"
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo70"
"Financeiro.exe","autenticacao-permissao","Tb_FiliaisGrupo84"
"Financeiro.exe","autenticacao-permissao","Tb_GruCli2DesGrupoX"
"Financeiro.exe","autenticacao-permissao","Tb_GruCli2ObsGrupo\"
"Financeiro.exe","autenticacao-permissao","Tb_GruCli3DesGrupoL"
"Financeiro.exe","autenticacao-permissao","Tb_GruCli3ObsGrupoP"
"Financeiro.exe","autenticacao-permissao","Tb_GruCliDesGrupod"
"Financeiro.exe","autenticacao-permissao","Tb_GruCliObsGrupoh"
"Financeiro.exe","autenticacao-permissao","Tb_GruFor2Grupo"
"Financeiro.exe","autenticacao-permissao","Tb_GruForGrupo"
"Financeiro.exe","autenticacao-permissao","Tb_Usuarios "
"Financeiro.exe","autenticacao-permissao","Tb_Usuarios$"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosCodUsuario("
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosCodUsuario4"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosDatCad0"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosGruUsuario<"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosNomUsuario,"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosNomUsuario8"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosSenhaD"
"Financeiro.exe","autenticacao-permissao","Tb_UsuariosTipUsuario@"
"Financeiro.exe","autenticacao-permissao","TF_Senha"
"Financeiro.exe","autenticacao-permissao","TFC_DigSenha"
"Financeiro.exe","autenticacao-permissao","TFC_DigSenhah"
"Financeiro.exe","autenticacao-permissao","TipUsuario"
"Financeiro.exe","autenticacao-permissao","Usuario"
"Financeiro.exe","autenticacao-permissao","Usuario n"
"Financeiro.exe","autenticacao-permissao","Usuarios"
"Financeiro.exe","autenticacao-permissao","UsuSenhaSMTP"
"Gerenciador.exe","comunicacao-remota",".http://www.lavsoft.com.br/AutenticaGerenciador"
"Gerenciador.exe","comunicacao-remota","(http://www.lavsoft.com.br/TestaAutentica"
"Gerenciador.exe","atualizacao","fSystem.Drawing.Icon, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a"
"Gerenciador.exe","atualizacao","fSystem.Drawing.Icon, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aBj"
"Gerenciador.exe","atualizacao","fSystem.Drawing.Icon, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3ahSystem.Drawing.Bitmap, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPADPBj"
"Gerenciador.exe","atualizacao","fSystem.Drawing.Icon, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3ahSystem.Drawing.Bitmap, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPADPI"
"Gerenciador.exe","atualizacao","hSystem.Drawing.Bitmap, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPADD"
"Gerenciador.exe","atualizacao","hSystem.Drawing.Bitmap, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPADF~"
"Gerenciador.exe","atualizacao","lSystem.Resources.ResourceReader, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089#System.Resources.RuntimeResourceSet"
"Gerenciador.exe","atualizacao","QSystem.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a"
"Gerenciador.exe","autenticacao-permissao","rio ou senha inv"
"Gerenciador.exe","autenticacao-permissao","senha"
"Gerenciador.exe","atualizacao","System.Web.Services.Description.SoapBindingUse, System.Web.Services, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a"
"Gerenciador.exe","atualizacao","System.Web.Services.Protocols.SoapParameterStyle, System.Web.Services, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a"
"Gerenciador.exe","atualizacao","System.Windows.Forms.ImageListStreamer, System.Windows.Forms, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089hSystem.Drawing.Bitmap, System.Drawing, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADPADP"
"Gerenciador.exe","autenticacao-permissao","usuario"
"Gerenciador.exe","atualizacao","WSystem.Windows.Forms, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089"
"LavFacilLan.exe","atualizacao","CachedUpdates"
"LavFacilLan.exe","comunicacao-remota","URLDownloadToCacheFileA"
"LavSoft.exe","autenticacao-permissao","-Grupo: "
"LavSoft.exe","autenticacao-permissao","-Grupo2: "
"LavSoft.exe","autenticacao-permissao","-Grupo3: "
"LavSoft.exe","autenticacao-permissao","-Grupo4: "
"LavSoft.exe","autenticacao-permissao","\Nivel.Db"
"LavSoft.exe","autenticacao-permissao","c_DigitaSenha"
"LavSoft.exe","atualizacao","CachedUpdates"
