Executavel,OrdemAproximada,Evento,Modulo,Arquivo,Limite
Estoque.exe,1,modulo_carregado_observado,Estoque.exe,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\Estoque.exe,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,2,modulo_carregado_observado,ntdll.dll,C:\WINDOWS\SYSTEM32\ntdll.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,3,modulo_carregado_observado,KERNEL32.DLL,C:\WINDOWS\System32\KERNEL32.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,4,modulo_carregado_observado,KERNELBASE.dll,C:\WINDOWS\System32\KERNELBASE.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,5,modulo_carregado_observado,apphelp.dll,C:\WINDOWS\SYSTEM32\apphelp.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,6,modulo_carregado_observado,user32.dll,C:\WINDOWS\System32\user32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,7,modulo_carregado_observado,win32u.dll,C:\WINDOWS\System32\win32u.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,8,modulo_carregado_observado,GDI32.dll,C:\WINDOWS\System32\GDI32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,9,modulo_carregado_observado,gdi32full.dll,C:\WINDOWS\System32\gdi32full.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,10,modulo_carregado_observado,msvcp_win.dll,C:\WINDOWS\System32\msvcp_win.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,11,modulo_carregado_observado,ucrtbase.dll,C:\WINDOWS\System32\ucrtbase.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,12,modulo_carregado_observado,advapi32.dll,C:\WINDOWS\System32\advapi32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,13,modulo_carregado_observado,msvcrt.dll,C:\WINDOWS\System32\msvcrt.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,14,modulo_carregado_observado,sechost.dll,C:\WINDOWS\System32\sechost.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,15,modulo_carregado_observado,RPCRT4.dll,C:\WINDOWS\System32\RPCRT4.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,16,modulo_carregado_observado,oleaut32.dll,C:\WINDOWS\System32\oleaut32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,17,modulo_carregado_observado,combase.dll,C:\WINDOWS\System32\combase.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,18,modulo_carregado_observado,ole32.dll,C:\WINDOWS\System32\ole32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,19,modulo_carregado_observado,version.dll,C:\WINDOWS\SYSTEM32\version.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,20,modulo_carregado_observado,shell32.dll,C:\WINDOWS\System32\shell32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,21,modulo_carregado_observado,comctl32.dll,C:\WINDOWS\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.26100.8328_none_cf9c156c8ea8f6e3\comctl32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,22,modulo_carregado_observado,winspool.drv,C:\WINDOWS\SYSTEM32\winspool.drv,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,23,modulo_carregado_observado,comdlg32.dll,C:\WINDOWS\System32\comdlg32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,24,modulo_carregado_observado,shcore.dll,C:\WINDOWS\System32\shcore.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,25,modulo_carregado_observado,SHLWAPI.dll,C:\WINDOWS\System32\SHLWAPI.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,26,modulo_carregado_observado,cfgmgr32.dll,C:\WINDOWS\SYSTEM32\cfgmgr32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,27,modulo_carregado_observado,Windows.Storage.dll,C:\WINDOWS\System32\Windows.Storage.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,28,modulo_carregado_observado,wininet.dll,C:\WINDOWS\SYSTEM32\wininet.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,29,modulo_carregado_observado,winmm.dll,C:\WINDOWS\SYSTEM32\winmm.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,30,modulo_carregado_observado,IMM32.DLL,C:\WINDOWS\System32\IMM32.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,31,modulo_carregado_observado,uxtheme.dll,C:\WINDOWS\system32\uxtheme.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,32,modulo_carregado_observado,RTSSHooks.dll,C:\Program Files (x86)\RivaTuner Statistics Server\RTSSHooks.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,33,modulo_carregado_observado,SETUPAPI.dll,C:\WINDOWS\System32\SETUPAPI.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,34,modulo_carregado_observado,MSCTF.dll,C:\WINDOWS\System32\MSCTF.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,35,modulo_carregado_observado,olepro32.dll,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\olepro32.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,36,modulo_carregado_observado,security.dll,C:\WINDOWS\SYSTEM32\security.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,37,modulo_carregado_observado,SECUR32.DLL,C:\WINDOWS\SYSTEM32\SECUR32.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,38,modulo_carregado_observado,SSPICLI.DLL,C:\WINDOWS\SYSTEM32\SSPICLI.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,39,modulo_carregado_observado,kernel.appcore.dll,C:\WINDOWS\SYSTEM32\kernel.appcore.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,40,modulo_carregado_observado,bcryptPrimitives.dll,C:\WINDOWS\System32\bcryptPrimitives.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,41,modulo_carregado_observado,TextShaping.dll,C:\WINDOWS\SYSTEM32\TextShaping.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,42,modulo_carregado_observado,comctl32.DLL,C:\WINDOWS\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.26100.8328_none_85b54f03f7b0df7e\comctl32.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,43,modulo_carregado_observado,iertutil.dll,C:\WINDOWS\SYSTEM32\iertutil.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,44,modulo_carregado_observado,netutils.dll,C:\WINDOWS\SYSTEM32\netutils.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,45,modulo_carregado_observado,srvcli.dll,C:\WINDOWS\SYSTEM32\srvcli.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,46,modulo_carregado_observado,RICHED32.DLL,C:\WINDOWS\SYSTEM32\RICHED32.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,47,modulo_carregado_observado,RICHED20.dll,C:\WINDOWS\SYSTEM32\RICHED20.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,48,modulo_carregado_observado,USP10.dll,C:\WINDOWS\SYSTEM32\USP10.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,49,modulo_carregado_observado,msls31.dll,C:\WINDOWS\SYSTEM32\msls31.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,50,modulo_carregado_observado,clbcatq.dll,C:\WINDOWS\System32\clbcatq.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,51,modulo_carregado_observado,dataexchange.dll,C:\WINDOWS\system32\dataexchange.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,52,modulo_carregado_observado,twinapi.appcore.dll,C:\WINDOWS\system32\twinapi.appcore.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,53,modulo_carregado_observado,IDAPI32.DLL,C:\Program Files (x86)\Borland\Common Files\BDE\IDAPI32.DLL,ordem de enumeracao final; nao substitui trace ETW/ProcMon
Estoque.exe,54,modulo_carregado_observado,MPR.dll,C:\WINDOWS\SYSTEM32\MPR.dll,ordem de enumeracao final; nao substitui trace ETW/ProcMon
