"FileName","File","ImportedDll","Machine"
"_ISREG32.DLL","D:\AtelieProd\Equipexe\_ISREG32.DLL","ADVAPI32.dll","0x014C"
"_ISREG32.DLL","D:\AtelieProd\Equipexe\_ISREG32.DLL","OLEAUT32.dll","0x014C"
"Alerta.exe","D:\AtelieProd\Equipexe\Exe\Alerta.exe","advapi32.dll","0x014C"
"Alerta.exe","D:\AtelieProd\Equipexe\Exe\Alerta.exe","oleaut32.dll","0x014C"
"Anotacoes.exe","D:\AtelieProd\Equipexe\Exe\Anotacoes.exe","advapi32.dll","0x014C"
"Anotacoes.exe","D:\AtelieProd\Equipexe\Exe\Anotacoes.exe","oleaut32.dll","0x014C"
"Backup.exe","D:\AtelieProd\Equipexe\Exe\Backup.exe","advapi32.dll","0x014C"
"Backup.exe","D:\AtelieProd\Equipexe\Exe\Backup.exe","oleaut32.dll","0x014C"
"BemaMFD.dll","D:\AtelieProd\Equipexe\Exe\BemaMFD.dll","ADVAPI32.dll","0x014C"
"BemaMFD.dll","D:\AtelieProd\Equipexe\Exe\BemaMFD.dll","OLEAUT32.dll","0x014C"
"BemaSAT32.dll","D:\AtelieProd\Equipexe\Exe\BemaSAT32.dll","ADVAPI32.dll","0x014C"
"BemaSAT64.dll","D:\AtelieProd\Equipexe\Exe\BemaSAT64.dll","ADVAPI32.dll","0x8664"
"borlndmm.dll","D:\AtelieProd\Equipexe\Exe\borlndmm.dll","advapi32.dll","0x014C"
"CEP.exe","D:\AtelieProd\Equipexe\Exe\CEP.exe","advapi32.dll","0x014C"
"CEP.exe","D:\AtelieProd\Equipexe\Exe\CEP.exe","oleaut32.dll","0x014C"
"Cfx32.ocx","D:\AtelieProd\Equipexe\Figuras\Cfx32.ocx","ADVAPI32.dll","0x014C"
"Cfx32.ocx","D:\AtelieProd\Equipexe\Figuras\Cfx32.ocx","OLEAUT32.dll","0x014C"
"ChamaExcell.exe","D:\AtelieProd\Equipexe\Exe\ChamaExcell.exe","advapi32.dll","0x014C"
"ChamaExcell.exe","D:\AtelieProd\Equipexe\Exe\ChamaExcell.exe","oleaut32.dll","0x014C"
"CobreBemX.dll","D:\AtelieProd\Equipexe\Exe\CobreBemX.dll","advapi32.dll","0x014C"
"CobreBemX.dll","D:\AtelieProd\Equipexe\Exe\CobreBemX.dll","oleaut32.dll","0x014C"
"Conexao.exe","D:\AtelieProd\Equipexe\Exe\Conexao.exe","advapi32.dll","0x014C"
"Conexao.exe","D:\AtelieProd\Equipexe\Exe\Conexao.exe","oleaut32.dll","0x014C"
"Conexoes.exe","D:\AtelieProd\Equipexe\Exe\Conexoes.exe","advapi32.dll","0x014C"
"Conexoes.exe","D:\AtelieProd\Equipexe\Exe\Conexoes.exe","oleaut32.dll","0x014C"
"Conexoes.exe","D:\AtelieProd\Equipexe\Exe\Conexoes.exe","wsock32.dll","0x014C"
"ConfigXP2000.exe","D:\AtelieProd\Equipexe\Exe\ConfigXP2000.exe","advapi32.dll","0x014C"
"ConfigXP2000.exe","D:\AtelieProd\Equipexe\Exe\ConfigXP2000.exe","oleaut32.dll","0x014C"
"ConnectionODBC.exe","D:\AtelieProd\Equipexe\Exe\ConnectionODBC.exe","advapi32.dll","0x014C"
"ConnectionODBC.exe","D:\AtelieProd\Equipexe\Exe\ConnectionODBC.exe","oleaut32.dll","0x014C"
"ConvBDEquipe.exe","D:\AtelieProd\Equipexe\Exe\ConvBDEquipe.exe","advapi32.dll","0x014C"
"ConvBDEquipe.exe","D:\AtelieProd\Equipexe\Exe\ConvBDEquipe.exe","oleaut32.dll","0x014C"
"DAO350.DLL","D:\AtelieProd\Equipexe\Exe\DAO350.DLL","ADVAPI32.dll","0x014C"
"DAO350.DLL","D:\AtelieProd\Equipexe\Exe\DAO350.DLL","OLEAUT32.dll","0x014C"
