Executavel,Endpoint,AreaProvavel,Protocolo,Criticidade,PayloadCapturado,Observacao
Gerenciador.exe,http://lavsoft.com.br/ws/Nuvem/,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://lavsoft.com.br/ws/Nuvem/Enviar,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://lavsoft.com.br/ws/Nuvem/T,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://lavsoft.com.br/ws/Nuvem/TU,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://lavsoft.com.br/ws/nuvem/v1/UploadArquivo.asmx,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Senhas.exe,http://ns.adobe.com/iX/1.0/,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Senhas.exe,http://ns.adobe.com/xap/1.0/,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Senhas.exe,http://ns.adobe.com/xap/1.0/mm/,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Estoque.exe,http://schemas.xmlsoap.org/soap/encoding/,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Estoque.exe,http://schemas.xmlsoap.org/soap/envelope/,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://tempuri.org/EnviarDadosTabela,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://tempuri.org/I,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://tempuri.org/T,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://tempuri.org/TU,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Estoque.exe,http://www.borland.com/rootpart.xml,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/@,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/A,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/AutenticaGerenciador,autenticacao-remota,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/DefinePadraoDownload,atualizacao/download,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/DownloadDados,atualizacao/download,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaCaract,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaCaractNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaCores,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaCoresNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaDados,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaDefeitos,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaDefeitosNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaDelivery,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaDeliveryNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaEntrega,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaEntregaNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaFatPre,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaFatPreNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaFormasPagamento,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaFormasPagamentoNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaGruPro,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaGruProNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaMarcaNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaMovimento,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaMovimentoNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaPrazos,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaPrazosNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaServicos,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaServicosNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaTabelasPreco,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaTabelasPrecoNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/EnviaTipoEntradaNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/informaConcluido,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/informaConcluidoVersao,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/ListaDuplicatas,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/ListarDispositivosPorFilial,device-management,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/RecebeRolsFinalizados,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/RecebeRolsFinalizadosNew,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/RecebeRolsFinalizadosNewTeste,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/RegistraEstacao,device-management,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/T,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/TestaAutentica,autenticacao-remota,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/testerols,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/TesteVerificaAtualizacoes,atualizacao/download,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/TU,sincronizacao,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/VerificaAtualizacoes,atualizacao/download,HTTP,critica,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
Gerenciador.exe,http://www.lavsoft.com.br/ws/Equipe/v2/AtuTabelas.asmx,sincronizacao-nuvem,HTTP,alta,nao,endpoint extraido estaticamente; exige captura dinamica para confirmar contrato
