Categoria,TableName,ColumnName,RelativePath,DataType,ColumnSize,Observacao
atualizacao,CadProces,Versao,Ger\Dados\CadProces.DB,System.String,20,requer validacao funcional
atualizacao,MovControle,Versao,Ger\Filial\MovControle.DB,System.String,20,requer validacao funcional
atualizacao,MovProc,Versao,Ger\Filial\MovProc.DB,System.String,20,requer validacao funcional
atualizacao,MovProces,Versao,SAT\FILIAL\MovProces.DB,System.String,20,requer validacao funcional
atualizacao,Sistemas,Versao,Estruturas\Sistemas.DB,System.String,20,requer validacao funcional
autenticacao-permissao,Alteracoes,CodUsuario,SAT\FILIAL\Alteracoes.DB,System.String,20,requer validacao funcional
autenticacao-permissao,AndAltSist,CodUsuario,SAT\FILIAL\AndAltSist.DB,System.String,20,requer validacao funcional
autenticacao-permissao,Anotacoes,CodUsuario,SAT\FILIAL\Anotacoes.DB,System.String,20,requer validacao funcional
autenticacao-permissao,Anotacoes,ParUsuario,SAT\FILIAL\Anotacoes.DB,System.String,20,requer validacao funcional
autenticacao-permissao,ArqDocum,UsuarioArq,SAT\DADOS\ArqDocum.DB,System.String,20,requer validacao funcional
autenticacao-permissao,AvisoRoupa,CodUsuario,PEC\FILIAL\AvisoRoupa.DB,System.String,20,requer validacao funcional
autenticacao-permissao,AvisoRoupa,ResUsuario,PEC\FILIAL\AvisoRoupa.DB,System.String,20,requer validacao funcional
autenticacao-permissao,AvisoRoupa,UsuarioProces,PEC\FILIAL\AvisoRoupa.DB,System.String,20,requer validacao funcional
autenticacao-permissao,Backup,CodUsuario,Ger\Dados\Backup.DB,System.String,20,requer validacao funcional
autenticacao-permissao,Boletos,CodUsuario,REC\FILIAL\Boletos.DB,System.String,20,requer validacao funcional
autenticacao-permissao,BoletosCan,CodUsuario,REC\FILIAL\BoletosCan.DB,System.String,20,requer validacao funcional
autenticacao-permissao,BoletosLot,CodUsuario,REC\FILIAL\BoletosLot.DB,System.String,20,requer validacao funcional
autenticacao-permissao,Bonus,CodUsuario,Lav\FILIAL\Bonus.DB,System.String,20,requer validacao funcional
autenticacao-permissao,CadCai,CodUsuario,Ger\Filial\CadCai.DB,System.String,20,requer validacao funcional
autenticacao-permissao,CadInt,Grupo,ESC\FILIAL\CadInt.DB,System.String,10,requer validacao funcional
autenticacao-permissao,CadInt,Grupo,Importa\ESC\FILIAL\CadInt.DB,System.String,10,requer validacao funcional
