"Executavel","Categoria","Texto"
"EquEstruAtu.exe","licenciamento","ilSerializable"
"EquEstruAtu.exe","sinal-relacionado","Invalid cp10000_MacRoman sequence ""%s"""
"Estoque.exe","licenciamento","ilSerializable"
"Estoque.exe","sinal-relacionado","Invalid cp10000_MacRoman sequence ""%s"""
"Gerenciador.exe","hardware-binding",")http://www.lavsoft.com.br/RegistraEstacao"
"Gerenciador.exe","comunicacao-remota","*http://www.lavsoft.com.br/informaConcluido"
"Gerenciador.exe","comunicacao-remota","0http://www.lavsoft.com.br/informaConcluidoVersao"
"Gerenciador.exe","comunicacao-remota","5http://www.lavsoft.com.br/ListarDispositivosPorFilial"
"Gerenciador.exe","atualizacao","add_informaConcluidoVersaoCompleted"
"Gerenciador.exe","hardware-binding","add_RegistraEstacaoCompleted"
"Gerenciador.exe","hardware-binding","get_MacAddress"
"Gerenciador.exe","hardware-binding","get_macAddressUnavailable"
"Gerenciador.exe","hardware-binding","getMacAddress"
"Gerenciador.exe","atualizacao","informaConcluidoVersao"
"Gerenciador.exe","atualizacao","informaConcluidoVersaoAsync"
"Gerenciador.exe","atualizacao","informaConcluidoVersaoCompletedEventArgs"
"Gerenciador.exe","atualizacao","informaConcluidoVersaoCompletedEventHandler"
"Gerenciador.exe","hardware-binding","macAddress"
"Gerenciador.exe","atualizacao","OninformaConcluidoVersaoOperationCompleted"
"Gerenciador.exe","hardware-binding","OnRegistraEstacaoOperationCompleted"
"Gerenciador.exe","hardware-binding","RegistraEstacao"
"Gerenciador.exe","hardware-binding","RegistraEstacaoAsync"
"Gerenciador.exe","hardware-binding","RegistraEstacaoCompletedEventArgs"
"Gerenciador.exe","hardware-binding","RegistraEstacaoCompletedEventHandler"
"Gerenciador.exe","atualizacao","remove_informaConcluidoVersaoCompleted"
"Gerenciador.exe","hardware-binding","remove_RegistraEstacaoCompleted"
"Gerenciador.exe","hardware-binding","set_MacAddress"
"Gerenciador.exe","licenciamento","System.Xml.Serialization"
"Gerenciador.exe","hardware-binding","txtMacAddress"
"Gerenciador.exe","hardware-binding","vel recuperar o identificador do computador para efetuar o v"
"Gerenciador.exe","hardware-binding","xmlEstacao"
"LavFacilLan.exe","licenciamento","ilSerializable"
"LavFacilLan.exe","sinal-relacionado","Invalid cp10000_MacRoman sequence ""%s"""
"LavFacilLan.exe","sinal-relacionado","Invalid method call.  Device already printing."
"LavFacilLan.exe","sinal-relacionado","Invalid method call.  Device is not printing."
"NFE.exe","licenciamento","FSerialNum"
"NFE.exe","licenciamento","SerialNum"
"SAT.exe","licenciamento","ilSerializable"
