Executavel,Categoria,Texto,Origem,TamanhoArquivo,SHA256Arquivo,UltimaAlteracao
LavSoft.exe,sinal-relacionado,EInvalidOp,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,sinal-relacionado,EInvalidPointer,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,sinal-relacionado,EInvalidCast,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,atualizacao,UpdateFont,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,sinal-relacionado,EInvalidOperation,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,sinal-relacionado,EInvalidGraphic,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,sinal-relacionado,EInvalidGraphicOperation,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,licenciamento,Ctl3dRegister,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,licenciamento,Ctl3dUnregister,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,autenticacao-permissao,PasswordChar,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,sinal-relacionado,ofNoValidate,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,autenticacao-permissao,TPasswordDialog,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,autenticacao-permissao,Password,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,atualizacao,batUpdate,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,atualizacao,batAppendUpdate,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,atualizacao,UpdateMode,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,atualizacao,UpdateObject,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,autenticacao-permissao,TPasswordEvent,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,autenticacao-permissao,OnPassword,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
LavSoft.exe,atualizacao,TUpdateErrorEvent,D:\AtelieProd\MOD\apps\legacy-runtime\Equipexe\Exe\LavSoft.exe,10150400,,2017-07-24T13:36:26
