Dominio,Tabela,Caminho,CampoBanco,CampoVisualProvavel,ClasseCampo,TipoDado,Tamanho,ObrigatoriedadeInferida,NullableODBC,OrigemInferida,UsoProvavel,ValidacaoPendente
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHAVE_LOG,CHAVE_LOG,id_codigo,System.String,16,provavel,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,NOME_LOG,Nome,texto_observacao,System.String,120,provavel,True,Paradox/BDE,texto_observacao,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVLOCAL_LOG,CHVLOCAL_LOG,outro,System.String,12,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVBAI1_LOG,CHVBAI1_LOG,outro,System.String,10,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVBAI2_LOG,CHVBAI2_LOG,outro,System.String,10,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,CEP8_LOG,CEP,cliente_ref,System.String,16,desconhecido,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,UF_LOG,UF,cliente_ref,System.String,4,desconhecido,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVTIPO_LOG,CHVTIPO_LOG,outro,System.String,6,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,COMPLE_LOG,COMPLE_LOG,outro,System.String,130,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,REOP_LOG,REOP_LOG,outro,System.String,4,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,OPER_LOG,OPER_LOG,outro,System.String,2,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,DATA_LOG,Data,data_hora,System.String,16,provavel,True,Paradox/BDE,data_hora,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,CodPro,CodPro,id_codigo,System.String,10,provavel,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,NomPro,NomPro,outro,System.String,60,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,EndPro,Endereco,cliente_ref,System.String,60,desconhecido,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,CidPro,CidPro,outro,System.String,40,provavel,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,EstPro,EstPro,outro,System.String,4,desconhecido,True,Paradox/BDE,outro,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,CepPro,CEP,cliente_ref,System.String,18,desconhecido,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
produto_servico,CadPro,ESC\DADOS\CadPro.DB,TelPro,Telefone,cliente_ref,System.String,30,desconhecido,True,Paradox/BDE,identificador/vinculo,"validar em tela, ProcMon e amostra de dados"
