Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHAVE_LOG,System.String,16,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,possivel,nao confirmado,CHAVE_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,identificador,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,NOME_LOG,System.String,120,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,NOME_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,nome/descricao,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVLOCAL_LOG,System.String,12,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,CHVLOCAL_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVBAI1_LOG,System.String,10,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,CHVBAI1_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVBAI2_LOG,System.String,10,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,CHVBAI2_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,CEP8_LOG,System.String,16,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,CEP,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,UF_LOG,System.String,4,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,UF_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,CHVTIPO_LOG,System.String,6,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,CHVTIPO_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,COMPLE_LOG,System.String,130,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,COMPLE_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,REOP_LOG,System.String,4,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,REOP_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,OPER_LOG,System.String,2,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,OPER_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CEP_LOG,CEP\DADOS\CEP_LOG.DB,DATA_LOG,System.String,16,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,DATA_LOG,Ocorrencias/Auditoria,nao confirmado,Ocorrencias/Auditoria,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,CodPro,System.String,10,0,nao confirmado,.PX;.XG0;.YG0,possivel,possivel,Produto,Produtos/Servicos,nao confirmado,Produtos/Servicos,identificador,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,NomPro,System.String,60,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,NomPro,Produtos/Servicos,nao confirmado,Produtos/Servicos,nome/descricao,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,EndPro,System.String,60,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Endereco,Produtos/Servicos,nao confirmado,Produtos/Servicos,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,CidPro,System.String,40,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,CidPro,Produtos/Servicos,nao confirmado,Produtos/Servicos,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,EstPro,System.String,4,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,EstPro,Produtos/Servicos,nao confirmado,Produtos/Servicos,desconhecido,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,CepPro,System.String,18,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,CEP,Produtos/Servicos,nao confirmado,Produtos/Servicos,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,TelPro,System.String,30,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Telefone,Produtos/Servicos,nao confirmado,Produtos/Servicos,telefone,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,DddPro,System.String,6,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DddPro,Produtos/Servicos,nao confirmado,Produtos/Servicos,desconhecido,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,DatNas,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatNas,Produtos/Servicos,nao confirmado,Produtos/Servicos,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,HorAul0,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorAul0,Produtos/Servicos,nao confirmado,Produtos/Servicos,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,HorAul,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorAul,Produtos/Servicos,nao confirmado,Produtos/Servicos,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,HorAul2,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorAul2,Produtos/Servicos,nao confirmado,Produtos/Servicos,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPro,ESC\DADOS\CadPro.DB,HorAul3,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,HorAul3,Produtos/Servicos,nao confirmado,Produtos/Servicos,log,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,CodCont,System.Int32,4,0,nao confirmado,.PX;.XG0;.YG0,possivel,possivel,CodCont,Configuracao/Admin,nao confirmado,Configuracao/Admin,identificador,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,NomAlu,System.String,80,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,NomAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,nome/descricao,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,EndAlu,System.String,80,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Endereco,Configuracao/Admin,nao confirmado,Configuracao/Admin,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,CidAlu,System.String,40,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,CidAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,EstAlu,System.String,4,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,EstAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,desconhecido,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,CepAlu,System.String,30,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,CEP,Configuracao/Admin,nao confirmado,Configuracao/Admin,endereco,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,DatNas,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatNas,Configuracao/Admin,nao confirmado,Configuracao/Admin,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,TelAluR,System.String,30,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Telefone,Configuracao/Admin,nao confirmado,Configuracao/Admin,telefone,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,TelAluC,System.String,30,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Telefone,Configuracao/Admin,nao confirmado,Configuracao/Admin,telefone,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,ComTelC,System.String,40,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Telefone,Configuracao/Admin,nao confirmado,Configuracao/Admin,telefone,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,AluMaior,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,AluMaior,Configuracao/Admin,nao confirmado,Configuracao/Admin,desconhecido,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,CodCli,System.String,20,0,nao confirmado,.PX;.XG0;.YG0,possivel,possivel,Codigo do cliente,Configuracao/Admin,nao confirmado,Configuracao/Admin,identificador,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,SexAlu,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,SexAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,desconhecido,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,RgAlu,System.String,30,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,RgAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,documento,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,CicAlu,System.String,30,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,CicAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,desconhecido,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,CodCon,System.String,10,0,nao confirmado,.PX;.XG0;.YG0,possivel,possivel,CodCon,Configuracao/Admin,nao confirmado,Configuracao/Admin,identificador,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,DescAlu,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DescAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,nome/descricao,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,ObsAlu,System.String,200,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ObsAlu,Configuracao/Admin,nao confirmado,Configuracao/Admin,observacao,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,Cancelado,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Celular,Configuracao/Admin,nao confirmado,Configuracao/Admin,telefone,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,DatCan,System.DateTime,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,DatCan,Configuracao/Admin,nao confirmado,Configuracao/Admin,data,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadAlu,ESC\FILIAL\CadAlu.DB,MotivDesc,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MotivDesc,Configuracao/Admin,nao confirmado,Configuracao/Admin,nome/descricao,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
