Dominio,Tabela,Caminho,TamanhoArquivo,QtdColunas,ClassesCampo,CamposPrincipais,Criticidade
auditoria_log,CEP_LOG,CEP\DADOS\CEP_LOG.DB,2048,12,outro:7; cliente_ref:2; id_codigo:1; texto_observacao:1; data_hora:1,CHAVE_LOG; NOME_LOG; CHVLOCAL_LOG; CHVBAI1_LOG; CHVBAI2_LOG; CEP8_LOG; UF_LOG; CHVTIPO_LOG; COMPLE_LOG; REOP_LOG; OPER_LOG; DATA_LOG,media
auditoria_log,EstatLavSoft,Ger\Dados\EstatLavSoft.DB,2048,17,outro:14; id_codigo:2; valor_monetario:1,CodFilCam; Ano; CodFil; Campo; Descricao; Mes1; Mes2; Mes3; Mes4; Mes5; Mes6; Mes7; Mes8; Mes9; Mes10; Mes11; Mes12,media
auditoria_log,MovPecLavLog,Ger\Dados\MovPecLavLog.DB,2048,4,outro:2; data_hora:1; id_codigo:1,Leitura; DatLido; HorLido; CodErro,media
auditoria_log,LogExporta,Lav\FILIAL\LogExporta.DB,34816,6,outro:2; data_hora:2; id_codigo:1; ordem_rol_ref:1,SeqExporta; DesExporta; DatExporta; DatExportaFim; CodUsuario; TotLanctos,media
auditoria_log,LogSisPec,PEC\FILIAL\LogSisPec.DB,2048,11,outro:4; id_codigo:4; valor_monetario:2; data_hora:1,Sequencia; CodUsuario; Sistema; Data; Tipo; Descricao1; Descricao2; SeqExporta; Chave; NomeChave; CodVen,media
cliente,CliContEst,EST\FILIAL\CliContEst.DB,2048,15,outro:7; id_codigo:4; data_hora:3; status_situacao:1,CodCli; CodProEst; CenCus; DatIniCont; Qde; ValCont; DiaVenc; CodCla; CodSubC; BanCai; CenCusCli; EmiBol; EmiNot; DatFimCont; Status,critica
cliente,Clientes,Ger\Dados\Backup\Clientes.DB,8296448,124,outro:49; id_codigo:27; cliente_ref:18; valor_monetario:6; data_hora:5; texto_observacao:5; ordem_rol_ref:4; status_situacao:3,CodCli; NomCli; EndCli; CidCli; EstCli; CepCli; TelCli; TelCli2; Contato; CgcCli; DigCli; GruCli; CodTab; InsEstCli; InsMunCli; EndCobCli; EndEntCli; CidCobCli,critica
cliente,CliCont,Ger\Dados\CliCont.DB,34816,4,id_codigo:2; outro:1; data_hora:1,CodCli; NParc; VencCont; CodInd,critica
cliente,CliContato,Ger\Dados\CliContato.DB,2048,17,cliente_ref:10; outro:4; id_codigo:1; data_hora:1; texto_observacao:1,CodCli; Contato; Cargo; Setor; DatNas; TelContato1; RamTel1; TelContato2; RamTel2; CelContato; email; Obs; Cancelado; Restricao; TipContato; CepCon; EndCon,critica
cliente,Clientes,Ger\Dados\Clientes.DB,11835392,124,outro:49; id_codigo:27; cliente_ref:18; valor_monetario:6; data_hora:5; texto_observacao:5; ordem_rol_ref:4; status_situacao:3,CodCli; NomCli; EndCli; CidCli; EstCli; CepCli; TelCli; TelCli2; Contato; CgcCli; DigCli; GruCli; CodTab; InsEstCli; InsMunCli; EndCobCli; EndEntCli; CidCobCli,critica
cliente,Clientes-,Ger\Dados\Clientes-.DB,4331520,123,outro:48; id_codigo:27; cliente_ref:18; valor_monetario:6; data_hora:5; texto_observacao:5; ordem_rol_ref:4; status_situacao:3,CodCli; NomCli; EndCli; CidCli; EstCli; CepCli; TelCli; TelCli2; Contato; CgcCli; DigCli; GruCli; CodTab; InsEstCli; InsMunCli; EndCobCli; EndEntCli; CidCobCli,critica
cliente,ClientesInt,Ger\Dados\ClientesInt.DB,2048,3,id_codigo:2; data_hora:1,CodCad; CodCadSec; TipCad,critica
cliente,ClientesObs,Ger\Dados\ClientesObs.DB,2048,4,texto_observacao:3; id_codigo:1,CodCli; Obs1; Obs2; Obs3,critica
cliente,FunCli,Ger\Dados\FunCli.DB,2048,25,outro:14; id_codigo:4; cliente_ref:3; texto_observacao:2; data_hora:1; status_situacao:1,CodCli; CodFun; NomFun; EndFun; BaiFun; CidFun; EstFun; CepFun; DatAdm; ChapaFun; SitFun; CodCenCus; Box; Obs1; Obs2; Cancelado; TamRoupa; Gaveta,critica
cliente,FunCliCan,Ger\Dados\FunCliCan.DB,2048,5,id_codigo:3; data_hora:1; texto_observacao:1,CodCli; CodFun; DatCan; MotivoCan; CodUsuario,critica
cliente,FunCliRou,Ger\Dados\FunCliRou.DB,2048,13,id_codigo:7; outro:2; status_situacao:1; data_hora:1; texto_observacao:1; produto_ref:1,CodRoupa; CodCli; CodFun; CodPro; SitRoupa; DatCad; ObsRoupa; CodCor; Modelo; TamRoupa; FatPre01; CodDef; CodTipTec,critica
cliente,FunCliRouM,Ger\Dados\FunCliRouM.DB,2048,14,id_codigo:6; outro:3; data_hora:2; status_situacao:1; usuario_auditoria:1; cliente_ref:1,CodRoupa; CodClaMan; DatMan; CodUsuario; CompMan; CodFun; SitMan; CodFor; DatRet; HorRet; RetUsuario; Cancelado; BaiSaida; CodCli,critica
cliente,FunCliRouP,Ger\Dados\FunCliRouP.DB,2048,6,id_codigo:4; data_hora:1; outro:1,CodRoupa; CodClaPer; DatPer; CodUsuario; CompPer; CodFun,critica
cliente,FunCliRouUni,Ger\Dados\FunCliRouUni.DB,2048,5,id_codigo:3; outro:2,CodCli; CodFun; CodPro; TamRoupa; Qde,critica
cliente,GruClientes,Ger\Dados\GruClientes.DB,34816,12,outro:3; cliente_ref:3; texto_observacao:2; data_hora:1; ordem_rol_ref:1; id_codigo:1; valor_monetario:1,GruCli; DesGrupo; ObsGrupo; CorGrupo; CorGrupoF; PrioridGru; Cancelado; MotivoCan; DatCan; HorCan; CodVenCan; Desconto,critica
cliente,GruClientes2,Ger\Dados\GruClientes2.DB,2048,12,outro:3; cliente_ref:3; texto_observacao:2; data_hora:1; ordem_rol_ref:1; id_codigo:1; valor_monetario:1,GruCli; DesGrupo; ObsGrupo; CorGrupo; CorGrupoF; PrioridGru; Cancelado; MotivoCan; DatCan; HorCan; CodVenCan; Desconto,critica
cliente,GruClientes3,Ger\Dados\GruClientes3.DB,2048,12,outro:3; cliente_ref:3; texto_observacao:2; data_hora:1; ordem_rol_ref:1; id_codigo:1; valor_monetario:1,GruCli; DesGrupo; ObsGrupo; CorGrupo; CorGrupoF; PrioridGru; Cancelado; MotivoCan; DatCan; HorCan; CodVenCan; Desconto,critica
cliente,GruClientes4,Ger\Dados\GruClientes4.DB,2048,12,outro:3; cliente_ref:3; texto_observacao:2; data_hora:1; ordem_rol_ref:1; id_codigo:1; valor_monetario:1,GruCli; DesGrupo; ObsGrupo; CorGrupo; CorGrupoF; PrioridGru; Cancelado; MotivoCan; DatCan; HorCan; CodVenCan; Desconto,critica
cliente,EstCli,Lav\FILIAL\EstCli.DB,2048,24,data_hora:8; outro:8; id_codigo:3; quantidade:3; valor_monetario:2,CodCli; CodPro; DatLan; CodCor; Quant_Prev; Quant_Real; MedLan; UltLan2; UltLan3; UltLan4; UltLan5; UltLan1; QdeMinLan; QdeMaxLan; DatMinLan; DatMaxLan; DatUltLan1; DatUltLan2,critica
cliente,FunCli,PEC\DADOS\FunCli.DB,2048,25,outro:14; id_codigo:4; cliente_ref:3; texto_observacao:2; data_hora:1; status_situacao:1,CodCli; CodFun; NomFun; EndFun; BaiFun; CidFun; EstFun; CepFun; DatAdm; ChapaFun; SitFun; CodCenCus; Box; Obs1; Obs2; Cancelado; TamRoupa; Gaveta,critica
cliente,FunCliCan,PEC\DADOS\FunCliCan.DB,2048,5,id_codigo:3; data_hora:1; texto_observacao:1,CodCli; CodFun; DatCan; MotivoCan; CodUsuario,critica
cliente,FunCliRou,PEC\DADOS\FunCliRou.DB,2048,20,id_codigo:8; outro:7; status_situacao:1; data_hora:1; texto_observacao:1; produto_ref:1; valor_monetario:1,CodRoupa; CodCli; CodFun; CodPro; SitRoupa; DatCad; ObsRoupa; CodCor; Modelo; TamRoupa; FatPre01; CodDef; CodTipTec; Seq; ImpEti; QdeProc; VidaUtil; IntAval,critica
cliente,FunCliRouM,PEC\DADOS\FunCliRouM.DB,2048,16,id_codigo:6; data_hora:3; outro:3; status_situacao:2; usuario_auditoria:1; cliente_ref:1,CodRoupa; CodClaMan; DatMan; CodUsuario; CompMan; CodFun; SitMan; CodFor; DatRet; HorRet; RetUsuario; Cancelado; BaiSaida; CodCli; DatBaixa; HorBaixa,critica
cliente,FunCliRouP,PEC\DADOS\FunCliRouP.DB,2048,6,id_codigo:4; data_hora:1; outro:1,CodRoupa; CodClaPer; DatPer; CodUsuario; CompPer; CodFun,critica
cliente,FunCliRouUni,PEC\DADOS\FunCliRouUni.DB,2048,5,id_codigo:3; outro:2,CodCli; CodFun; CodPro; TamRoupa; Qde,critica
config_admin,CadAlu,ESC\FILIAL\CadAlu.DB,2048,26,outro:9; cliente_ref:7; id_codigo:3; data_hora:3; valor_monetario:3; texto_observacao:1,CodCont; NomAlu; EndAlu; CidAlu; EstAlu; CepAlu; DatNas; TelAluR; TelAluC; ComTelC; AluMaior; CodCli; SexAlu; RgAlu; CicAlu; CodCon; DescAlu; ObsAlu,media
config_admin,CadAul,ESC\FILIAL\CadAul.DB,2048,11,id_codigo:5; outro:2; texto_observacao:1; data_hora:1; cliente_ref:1; fiscal_documento:1,CodAul; CodTur; CodPro; CodMat; Obs; DatAul; MatDada; CargHor; Atraso; LanFal; CodHor,media
config_admin,CadCur,ESC\FILIAL\CadCur.DB,2048,6,valor_monetario:2; outro:2; id_codigo:1; texto_observacao:1,CodCur; DesCur; PreReq; PreReq2; Preco; Obs,media
