Origem,Destino,CampoOrigem,CampoDestino,TipoRelacionamento,Evidencia,NivelConfianca,Status,ComoValidarDinamicamente
Clientes,MovCab,CodCli,CodCli,1:N,campo CodCli existe em Clientes e MovCab; telas/menus indicam fluxo ROL/cliente,alta,confirmado por schema + UI,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Clientes,Duplicat,CodCli,CodCli,1:N,campo CodCli existe em Clientes e Duplicat; Duplicat contem vencimento/baixa/valor,alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Clientes,Notas,CodCli,CodCli,1:N,campo CodCli existe em Clientes e Notas,alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
MovCab,Notas,NumNot,NumNot,N:1 ou 1:1,campo NumNot existe em MovCab e Notas; papel exato pendente,media,hipotese por nome/string,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
MovCab,CliCredito,ROL,Rol,1:N,campo Rol em CliCredito e ROL em MovCab,media-alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
ProdEst,MovEst,CodProEst,CodProEst,1:N,campo CodProEst existe em ProdEst e MovEst,alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Produt,MovCab/Itens,CodPro,CodPro,1:N,"CodPro aparece em tabelas de controle/itens, mas item exato do ROL precisa validar",media,hipotese por nome/string,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Usuarios,MovCab,CodUsuario,CodUsuario,1:N,CodUsuario aparece em Usuarios e MovCab,media-alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Usuarios,MovEst,CodUsuario,CodUsuario,1:N,CodUsuario aparece em Usuarios e MovEst,media-alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Duplicat,Boletos/DupBoleto,NumDup/NumFat,NumDup/NumFat,1:N,campos NumFat/NumDup aparecem em duplicata e boleto,media,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
Notas,NotaFisPag,NumNot/NumNotFis,NumNotFis,1:N,"campos de nota aparecem em Notas e NotaFisPag, exato join pendente",media,hipotese por nome/string,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
SAT,NotaSatCanc,NumNotSat,NumNotSat,1:0..1,campo NumNotSat em NotaSat e NotaSatCanc,alta,confirmado por schema,abrir tela relacionada no MOD; rodar ProcMon; alterar dado de teste; comparar diff Paradox antes/depois
