"Directory","Table","Field","Class","DataType","NonEmpty","DistinctTracked","Evidence"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodCli","cliente","System.String","5064","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","NomCli","cliente","System.String","5064","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EndCli","outro","System.String","3854","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CidCli","outro","System.String","1761","23","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EstCli","outro","System.String","4973","4","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CepCli","outro","System.String","1669","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","TelCli","outro","System.String","849","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","TelCli2","outro","System.String","37","36","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Contato","outro","System.String","184","181","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CgcCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DigCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","GruCli","cliente","System.String","2","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab","data","System.String","2391","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","InsEstCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","InsMunCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EndCobCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EndEntCli","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CidCobCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CidEntCli","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EstCobCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EstEntCli","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CepCobCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CepEntCli","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodPai","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodUf","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodCid","outro","System.String","8","4","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodRam","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodCpg","outro","System.String","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodFpg","outro","System.String","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ArqLogCli","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Roteiro","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CCM","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","FisJur","outro","System.String","5064","4","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DatCad","data","System.DateTime","5064","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Status","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Seg","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Ter","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Qua","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Qui","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Sex","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Sab","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Dom","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","BaiCli","outro","System.String","1933","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Desconto","valor","System.Double","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DescontoFat","valor","System.Double","16","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab2","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab3","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab4","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab5","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab6","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab7","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab8","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTab9","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","FixaTab","outro","System.Boolean","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ControlaTab","outro","System.Int32","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodEmpree","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","RazSocCli","outro","System.String","4737","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CPFCli","outro","System.String","1588","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodTransp","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodVen","data","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","SaldoAnterior","valor","System.Double","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ObsSaldo","valor","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Unidade","produto","System.String","2034","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ObsCli","outro","System.String","39","39","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","EntPVisita","status","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Desativado","outro","System.String","22","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","MotivoDesat","outro","System.String","22","11","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","TipoEntrega","status","System.String","5064","1","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ObsCli2","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ObsCli3","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","ObsCli4","outro","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DatNas","data","System.DateTime","37","37","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Pontos","outro","System.Double","3182","121","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CompEnd","outro","System.String","1132","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","email","outro","System.String","189","188","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","TelCli3","outro","System.String","2904","200","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","CodCliSec","cliente","System.String","0","0","confirmado por schema + ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","VlrFatLim","valor","System.Double","5064","1","confirmado por schema + ocorrencia direta readonly"
