"Directory","Table","Field","Count","MinDate","MaxDate","Evidence"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DatCad","1899","09/01/2010 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DatNas","13","08/02/1958 00:00:00","10/01/7200 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DatCan","9","04/01/2015 00:00:00","03/10/2020 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Usuarios","DatCad","4","07/02/2014 00:00:00","06/11/2015 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DatLan","12328","07/01/2015 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DatEnt","12058","07/01/2015 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DataCanc","67","12/01/2015 00:00:00","02/06/2025 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DatPas","7652","08/01/2015 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DatEntRol","7788","07/01/2015 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","CliCredito","DatCre","35","12/01/2016 00:00:00","12/04/2020 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","DatEmi","8441","07/01/2015 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","DataCanc","191","10/01/2015 00:00:00","11/11/2025 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","DatEmi","7699","04/01/2016 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","DatVen","7776","04/01/2016 00:00:00","04/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","DatPag","7521","04/01/2016 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","DatCan","204","07/01/2016 00:00:00","11/11/2025 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","DatVenNot","7776","04/01/2016 00:00:00","04/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","DatLan","1614","03/01/2013 00:00:00","05/12/2026 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","Titulos","DatEmi","44","04/01/2016 00:00:00","04/12/2016 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","Titulos","DatVen","37","04/01/2016 00:00:00","04/12/2016 00:00:00","ocorrencia direta readonly"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","Titulos","DatPag","12","04/01/2016 00:00:00","03/12/2016 00:00:00","ocorrencia direta readonly"
