"Directory","Table","Field","Value","Count","Meaning","Evidence"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","TipoEntrega","P","5064","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","Posicao","S","20138","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","Posicao","E","87","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","Cancelado","S","198","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","SitRol","P","20048","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","FixEntrega","True","27146","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","FixEntrega","False","4826","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","PosicaoAnt","E","6260","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","PosicaoAnt","S","393","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","CliCredito","Cancelado","S","2","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","CliCredito","Sit","B","95","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","CliCredito","Sit","C","2","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","Cancelada","S","486","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","Baixa","S","19251","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","Baixa","N","466","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","Cancelado","S","463","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","BloqAltPre","N","121","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","MovSatCliOcor","SitOcor","0","4303","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","Titulos","Baixa","S","99","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","Titulos","Baixa","N","4","nao confirmado","ocorrencia direta readonly; significado exige UI/runtime"
