"Directory","RelativeDirectory","Table","Rows","Columns","FileLength"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","Clientes","5064","124","11835392"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","CliContato","0","17","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","ClientesObs","0","4","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","FunCli","0","25","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","FunCliRou","0","13","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","GruClientes","1","12","34816"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","Usuarios","9","14","34816"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","Senhas","0","3","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Ger\Dados","Nivel","438","13","67584"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","MovCab","31972","58","14487552"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","MovLocRol","0","7","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","ControleEti","0","7","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","IndenRol","0","5","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","CliCredito","106","14","34816"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","FecCaixa","0","3","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","MovIniCaixa","0","6","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","Notas","21679","37","13043712"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","NotaFisPag","0","16","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Lav\FILIAL","MovEstLan","0","6","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\Dados","Lav\Dados","CadLocRol","0","6","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","REC\FILIAL","Duplicat","19717","60","13701120"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","REC\FILIAL","Boletos","0","10","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","REC\FILIAL","DupBoleto","0","16","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS","EST\DADOS","ProdEst","0","24","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS","EST\DADOS","TabProdEst","0","4","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS","EST\DADOS","ProdEstKit","0","3","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\DADOS","EST\DADOS","ProdEstPac","0","3","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","EST\FILIAL","MovEst","1","17","34816"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","EST\FILIAL","MovEstCan","0","6","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","EST\FILIAL","MovEstEnc","0","6","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Ger\Filial","Produt","121","48","67584"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Ger\Filial","MovControle","0","61","4096"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","NotaSat","0","10","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","NotaSatCanc","0","5","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","MovSatCli","0","33","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","MovSatCliOcor","4303","21","4229120"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","MovSatFor","0","32","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","MovSatForOcor","0","21","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","MovSatInt","0","32","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","MovSatIntOcor","0","21","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\SAT\FILIAL","SAT\FILIAL","Anotacoes","0","17","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","PAG\FILIAL","Titulos","103","36","67584"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","PAG\FILIAL","TitGru","0","9","2048"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\PAG\FILIAL","PAG\FILIAL","TitGruLan","0","8","2048"
