"Directory","Table","Field","Class","Count","Min","Max","Sum","Evidence"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","Desconto","valor","5064","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DescontoFat","valor","16","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","VlrFatLim","valor","5064","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","DescISS","valor","16","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Dados","Clientes","PesoLim","quantidade","4233","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","ValTot","valor","31947","0","3000","2039532,88","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","TotPecas","valor","31971","0","48","85031","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DescontoROL","valor","31971","0","50","65","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","DescontoValor","valor","31971","0","130","1246,1","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","MovCab","QdeEsp","quantidade","31971","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","CliCredito","ValCre","valor","106","0","200","2500,7","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","ValNot","valor","21679","-15","1500","1586772,2","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","ValBasNot","valor","21679","-15","1500","1600055,83","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","QdeEsp","quantidade","17563","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","VlrFatLim","valor","17563","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Lav\FILIAL","Notas","MotivoDesc","valor","2","1643","1978","3621","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","ValFat","valor","19717","-15","1500","1404264,75","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","ValDup","valor","19717","-15","1500","1368437,85","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\REC\FILIAL","Duplicat","ValDupPag","valor","19251","-15","1170","1359972,75","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","MovEst","Qde","quantidade","1","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","MovEst","ValTot","valor","1","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\EST\FILIAL","MovEst","ValUnit","valor","1","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","Quant_Est","quantidade","121","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","Quant_Cli","quantidade","121","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","PesoProduto","quantidade","121","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","QdePecas","quantidade","121","1","1","121","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","ValCom","valor","121","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","ValComL","valor","121","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
"D:\AtelieProd\MOD\data\original-readonly\Equipexe\Ger\Filial","Produt","LimQdeCon","quantidade","121","0","0","0","ocorrencia direta readonly; formula/calculo exige runtime"
