Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
CadMatComp,ESC\FILIAL\CadMatComp.DB,MedAprov,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,MedAprov,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadRes,ESC\FILIAL\CadRes.DB,SitRes2,System.String,2,0,nao confirmado,.PX,nao confirmado,nao confirmado,SitRes2,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadRes,ESC\FILIAL\CadRes.DB,SitRes,System.String,2,0,nao confirmado,.PX,nao confirmado,nao confirmado,SitRes,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
Legislacao,EST\DADOS\Legislacao.DB,SitTribA,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,SitTribA,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
Legislacao,EST\DADOS\Legislacao.DB,SitTribB,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,SitTribB,Nao classificado,nao confirmado,Nao classificado,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CliContEst,EST\FILIAL\CliContEst.DB,Status,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,Status,Clientes,nao confirmado,Clientes,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
PedComItem,EST\FILIAL\PedComItem.DB,ObsItem,System.String,500,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ObsItem,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
PedComItem,EST\FILIAL\PedComItem.DB,SitTrib,System.String,10,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,SitTrib,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
PedConfItem,EST\FILIAL\PedConfItem.DB,ObsItem,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ObsItem,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
PedConfItem,EST\FILIAL\PedConfItem.DB,SitTrib,System.String,10,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,SitTrib,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
PedVenConfItem,EST\FILIAL\PedVenConfItem.DB,ObsItem,System.String,100,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ObsItem,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
PedVenConfItem,EST\FILIAL\PedVenConfItem.DB,SitTrib,System.String,10,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,SitTrib,Configuracao/Admin,nao confirmado,Configuracao/Admin,status,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
