Tabela,Caminho,Campo,Tipo,Tamanho,Precisao,Obrigatoriedade,IndiceParadoxDetectado,PossivelChavePrimaria,PossivelChaveEstrangeira,NomeVisualCorrespondente,ModuloRelacionado,TelaRelacionada,EntidadeDominio,ClassificacaoCampo,Evidencia,NivelConfianca,Status
CadCur,ESC\FILIAL\CadCur.DB,Preco,System.Double,8,0,nao confirmado,.PX,nao confirmado,nao confirmado,Preco,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadTur,ESC\FILIAL\CadTur.DB,ValMat,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValMat,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CompTurmas,ESC\FILIAL\CompTurmas.DB,ValCur,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,ValCur,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
MovPdv,ESC\FILIAL\MovPdv.DB,ValorUni,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,ValorUni,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
MovPdv,ESC\FILIAL\MovPdv.DB,ValorFinal,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,ValorFinal,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
NotasEsc,ESC\FILIAL\NotasEsc.DB,ValNot,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,ValNot,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
NotasEsc,ESC\FILIAL\NotasEsc.DB,ValBasNot,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,ValBasNot,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
NotasEsc,ESC\FILIAL\NotasEsc.DB,BaseISS,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,BaseISS,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
NotasEsc,ESC\FILIAL\NotasEsc.DB,ISS,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.YG0;.YG1,nao confirmado,nao confirmado,ISS,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.YG0,.YG1",alta,confirmado por schema
NotCompEsc,ESC\FILIAL\NotCompEsc.DB,ValComp,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValComp,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CliContEst,EST\FILIAL\CliContEst.DB,ValCont,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValCont,Clientes,nao confirmado,Clientes,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
MovEst,EST\FILIAL\MovEst.DB,ValUnit,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7,nao confirmado,nao confirmado,ValUnit,Estoque,nao confirmado,Estoque,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
PedComItem,EST\FILIAL\PedComItem.DB,ValUnit,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ValUnit,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
PedComItem,EST\FILIAL\PedComItem.DB,ValFinal,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ValFinal,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
PedConfItem,EST\FILIAL\PedConfItem.DB,ValUnit,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValUnit,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
PedVenConfItem,EST\FILIAL\PedVenConfItem.DB,ValUnit,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValUnit,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
PedVenItem,EST\FILIAL\PedVenItem.DB,ValUnit,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ValUnit,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
PedVenItem,EST\FILIAL\PedVenItem.DB,ValFinal,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ValFinal,Configuracao/Admin,nao confirmado,Configuracao/Admin,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
Clientes,Ger\Dados\Backup\Clientes.DB,SaldoAnterior,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,SaldoAnterior,Clientes,nao confirmado,Clientes,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
Clientes,Ger\Dados\Backup\Clientes.DB,ObsSaldo,System.String,100,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,ObsSaldo,Clientes,nao confirmado,Clientes,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
CadCla,Ger\Dados\CadCla.DB,ClaVal,System.String,134,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ClaVal,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadCon,Ger\Dados\CadCon.DB,ConVal,System.String,134,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ConVal,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadFaiCom,Ger\Dados\CadFaiCom.DB,ValCom,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValCom,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadFaixa,Ger\Dados\CadFaixa.DB,ValFaixa,System.Double,8,0,nao confirmado,.PX,nao confirmado,nao confirmado,ValFaixa,Nao classificado,nao confirmado,Nao classificado,valor financeiro,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadFpg,Ger\Dados\CadFpg.DB,ConValCre,System.String,2,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ConValCre,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPacot,Ger\Dados\CadPacot.DB,PrazoVal,System.Int32,4,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,PrazoVal,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CadPacotGru,Ger\Dados\CadPacotGru.DB,QdeTotPec,System.Int32,4,0,nao confirmado,.PX,nao confirmado,nao confirmado,Quantidade,Nao classificado,nao confirmado,Nao classificado,valor financeiro,confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,alta,confirmado por schema
CadPdv,Ger\Dados\CadPdv.DB,ValPdv,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValPdv,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
Cheque1,Ger\Dados\Cheque1.DB,ValChe,System.Double,8,0,nao confirmado,,nao confirmado,nao confirmado,ValChe,Nao classificado,nao confirmado,Nao classificado,valor financeiro,confirmado por schema: coluna existente no dicionario Paradox,media,confirmado por schema
ClaManut,Ger\Dados\ClaManut.DB,ValCusto,System.Double,8,0,nao confirmado,.PX;.XG0;.YG0,nao confirmado,nao confirmado,ValCusto,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.YG0",alta,confirmado por schema
CliComissao,Ger\Dados\CliComissao.DB,ValCom,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.YG0;.YG1;.YG2,nao confirmado,nao confirmado,ValCom,Nao classificado,nao confirmado,Nao classificado,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.YG0,.YG1",alta,confirmado por schema
Clientes,Ger\Dados\Clientes.DB,SaldoAnterior,System.Double,8,0,nao confirmado,.PX;.XG0;.XG1;.XG2;.XG3;.XG4;.XG5;.XG6;.XG7;.XG8;.XG9;.XGA;.YG0;.YG1;.YG2;.YG3;.YG4;.YG5;.YG6;.YG7;.YG8;.YG9;.YGA,nao confirmado,nao confirmado,SaldoAnterior,Clientes,nao confirmado,Clientes,valor financeiro,"confirmado por schema: coluna existente no dicionario Paradox | confirmado por schema: arquivos de indice .PX,.XG0,.XG1,.XG2,.XG3,.XG4",alta,confirmado por schema
