TelaOuMenu,Modulo,Acao,EntidadeInferida,TabelaConsulta,TabelaInsere,TabelaAltera,TabelaExclui,CampoMuda,LogGerado,RegraNegocio,PermissaoExigida,Evidencia,Status
Altera Cliente,LavSoft,alteracao,Clientes,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,AlteraCliente1,Nivel.DB/correlacao,confirmado por UI
AlteraCliente1,LavSoft,alteracao,Nao classificado,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,AlteraCliente1,Nivel.DB/correlacao,confirmado por UI
AlteraCliente18,LavSoft,alteracao,Nao classificado,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,AlteraCliente1,Nivel.DB/correlacao,confirmado por UI
AlteraCliente1Click,LavSoft,alteracao,Nao classificado,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,AlteraCliente1,Nivel.DB/correlacao,confirmado por UI
AlteraCliente1Click$,LavSoft,alteracao,Nao classificado,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,AlteraCliente1,Nivel.DB/correlacao,confirmado por UI
AlteraodeProdutos1,LavFacilLan,alteracao,Nao classificado,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,Alterao1,Nivel.DB/correlacao,confirmado por UI
AlteraodeProdutos1,LavSoft,alteracao,Nao classificado,a validar,,a validar,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,Alterao1,Nivel.DB/correlacao,confirmado por UI
:\EquipExe\Exe\Anotacoes.Exe,LavSoft,consulta/abre tela,Ocorrencias/Auditoria,a validar,,,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,Anotacoes1,Nivel.DB/correlacao,confirmado por UI
\Anotacoes,LavSoft,consulta/abre tela,Ocorrencias/Auditoria,a validar,,,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,Anotacoes1,Nivel.DB/correlacao,confirmado por UI
"\Anotacoes"" A",LavSoft,consulta/abre tela,Ocorrencias/Auditoria,a validar,,,a validar; preferir cancelamento logico,a validar,a validar,a validar por fluxo dinamico,Anotacoes1,Nivel.DB/correlacao,confirmado por UI
