Tela,Modulo,EntidadePrincipal,EntidadesSecundarias,TabelasLidas,TabelasAlteradas,Botoes,Acoes,Permissoes,Relatorios,FluxoAnterior,FluxoPosterior,Evidencia,Pendencias
nao identificado estaticamente,LavSoft,Nao classificado,a validar,and (EXTRACT(MONTH FROM DatNas) =,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,And (EXTRACT(MONTH FROM C.DatNas) =,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,and (EXTRACT(YEAR FROM DatNas) > 1900),nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"From "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * from """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select * from "":",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"SELECT COUNT(CODVEN) AS QUANTIDADE FROM """,nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select D.CodDef, D.DesDef",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select D.CodDef, D.DesDef, DG.CodDef, DG.GruPro",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select FP.CodFatPre, FP.DesFatPre",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Nao classificado,a validar,"Select FP.CodFatPre, FP.DesFatPre, FG.CodFatPre, FG.GruPro, FG.Fator, FG.Promocao",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Ocorrencias/Auditoria,a validar,"Select MA.CodMar, MA.DesMar, MA.Cancelado",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Ocorrencias/Auditoria,a validar,"Select MA.CodMar, MA.DesMar, MA.Cancelado, MG.CodMar, MG.GruPro",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Movimentos/OS/ROL,a validar,"-Select * From ""C:\Equipexe\Lav\Filial\MovCab""",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Movimentos/OS/ROL,a validar,",from ""c:\EquipExe\Lav\Filial\movcab"" M,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,",from ""c:\EquipExe\Lav\Filial\NotFis"" N,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Ocorrencias/Auditoria,a validar,",Select * From 'C:\EquipExe\Ger\Dados\LogSis'",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,".select * from ""z:\equipexe\ger\filial\cheque1""",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,"'from ""c:\EquipExe\Lav\Filial\Notas""N,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Financeiro,a validar,")from ""c:\EquipExe\Pag\Filial\Titulos"" T",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
nao identificado estaticamente,LavSoft,Configuracao/Admin,a validar,"*from ""c:\EquipExe\Lav\Filial\MovItem"" I,",nao confirmado,nao confirmado estaticamente,consulta,ver mapa-permissoes-ui-consolidado,ver matriz-relatorios,nao confirmado,nao confirmado,confirmado por UI-banco estatico,captura dinamica tela/ProcMon para confirmar leitura/escrita
