RelativePath,Extensao,TamanhoBytes,UltimaAlteracao,AreaProvavel,PossibilidadeSubstituicao
Figuras\001.jpg,.jpg,2875,2000-12-04T11:22:00,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\008.jpg,.jpg,2854,2000-11-29T09:24:48,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\021.jpg,.jpg,2962,2000-11-29T09:29:06,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\024.jpg,.jpg,2268,2000-11-29T09:36:00,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\027.jpg,.jpg,2656,2000-11-29T09:38:32,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\028.jpg,.jpg,3310,2000-12-13T09:21:32,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\029.jpg,.jpg,1774,2000-12-13T11:09:22,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\031.jpg,.jpg,3339,2000-11-29T09:40:06,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\033.jpg,.jpg,2287,2000-11-30T05:07:28,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\036.jpg,.jpg,2048,2000-11-29T09:41:32,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\038.jpg,.jpg,2565,2000-12-04T07:35:54,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\041.jpg,.jpg,2932,2000-11-29T09:42:46,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\070.jpg,.jpg,2972,2000-11-29T10:43:50,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\104.jpg,.jpg,3591,2000-12-08T11:17:52,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\151.jpg,.jpg,3878,2000-12-04T10:52:18,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\231.jpg,.jpg,2384,2000-12-04T11:17:14,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\237.jpg,.jpg,2353,2000-12-18T09:29:48,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\244.jpg,.jpg,2820,2000-12-04T10:33:42,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\246.jpg,.jpg,3214,2002-10-05T04:19:08,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\263.jpg,.jpg,3762,2002-10-05T04:38:56,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\275.jpg,.jpg,2402,2000-12-08T11:06:14,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\291.jpg,.jpg,2485,2000-12-13T09:43:02,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\320.jpg,.jpg,2460,2000-12-13T11:04:22,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\341.jpg,.jpg,2619,2000-12-05T05:49:02,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\347.jpg,.jpg,3378,2000-12-07T11:16:14,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\353.jpg,.jpg,2749,2000-11-29T09:48:18,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
Figuras\356.jpg,.jpg,2402,2000-12-08T11:06:14,logos/figuras,"alta, desde que caminho/configuracao seja preservado ou migrado"
