Executavel,ArquivoLayout,Indice,TamanhoBytes,ComponentesTPrefix,TiposMaisFrequentes,PossuiQuery,PossuiGrid,PossuiMenu,PossuiRelatorio
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.1.txt,1,47150,39,Tn:7; TT:3; TP:3; Tcommaaccent:2; TPF0:1; TF:1; TnV:1; TK:1,nao,nao,nao,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.10.txt,10,38275,527,Top:153; TabOrder:61; TLabel:44; Transparent:30; TEdit:26; TMenuItem:18; TStringField:17; TPanel:15,sim,sim,sim,sim
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.11.txt,11,38497,517,Top:151; TabOrder:58; TLabel:45; Transparent:31; TEdit:24; TStringField:17; TPanel:15; TMenuItem:14,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.12.txt,12,36515,463,Top:134; TabOrder:50; TLabel:41; Transparent:31; TEdit:21; TStringField:17; TPanel:15; Text:12,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.13.txt,13,31459,294,Top:89; TabOrder:33; Transparent:33; TLabel:31; TEdit:20; Text:12; TdE:8; TX:7,nao,nao,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.14.txt,14,32174,252,Top:77; TLabel:28; TabOrder:26; Transparent:21; TEdit:15; TMenuItem:10; TSpeedButton:6; TX:6,nao,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.15.txt,15,36823,364,Top:113; TabOrder:50; TLabel:40; Transparent:31; TEdit:20; TPanel:13; TitleFont:10; TSpeedButton:8,nao,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.16.txt,16,42753,529,Top:109; TStringField:51; TabOrder:44; TLabel:33; TMenuItem:29; Transparent:22; TEdit:16; TIntegerField:12,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.17.txt,17,41047,520,Top:103; TStringField:53; TabOrder:38; TMenuItem:27; TLabel:25; Transparent:23; TPanel:13; TIntegerField:12,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.18.txt,18,32064,283,Top:78; TabOrder:27; TLabel:18; Transparent:10; TEdit:10; TitleFont:10; TStringField:9; TX:8,nao,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.2.txt,2,19422,203,Top:66; TLabel:22; TabOrder:15; Transparent:14; TSpeedButton:10; TMenuItem:10; TEdit:6; TitleFont:5,nao,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.3.txt,3,16432,122,Top:39; TLabel:15; Transparent:14; TabOrder:11; TEdit:6; TPanel:3; TX:3; TMenuItem:3,nao,nao,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.4.txt,4,9740,16,Top:6; TPanel:2; TabOrder:2; TLabel:2; TPF0:1; TCEP_FM:1; TextHeight:1; TAnimatedImage:1,nao,nao,nao,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.5.txt,5,33201,390,Top:87; TStringField:35; TabOrder:24; TLabel:24; Transparent:22; TMenuItem:15; TitleFont:10; TDataSource:9,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.6.txt,6,64121,802,Top:248; TabOrder:111; TLabel:99; Transparent:89; TEdit:40; TitleFont:25; TDBLookupCombo:24; TBevel:18,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.7.txt,7,33877,466,TStringField:90; Top:64; TMenuItem:42; TTable:14; TabOrder:9; Transparent:8; TBooleanField:8; TLabel:7,sim,sim,sim,nao
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.8.txt,8,45075,807,Top:250; TabOrder:111; TLabel:89; TEdit:60; Text:37; Transparent:25; TMenuItem:24; TStringField:17,sim,sim,sim,sim
Estoque,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\Estoque.tpf0.9.txt,9,47104,862,Top:268; TabOrder:125; TLabel:94; TEdit:66; Text:48; Transparent:29; TMenuItem:20; TStringField:17,sim,sim,sim,sim
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.1.txt,1,46822,52,Ti:10; TT:8; TU:3; Tcommaaccent:2; TPF0:1; TxS:1; TnV:1; TyV:1,nao,nao,nao,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.10.txt,10,9740,16,Top:6; TPanel:2; TabOrder:2; TLabel:2; TPF0:1; TCEP_FM:1; TextHeight:1; TAnimatedImage:1,nao,nao,nao,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.100.txt,100,34581,435,Top:126; TabOrder:37; TLabel:23; TTable:21; Transparent:19; TMenuItem:15; TDataSource:11; TBevel:8,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.101.txt,101,33277,401,Top:114; TabOrder:32; TTable:21; TLabel:19; Transparent:19; TMenuItem:13; TDataSource:11; TX:8,sim,sim,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.102.txt,102,28295,241,Top:69; TabOrder:16; TLabel:14; TMenuItem:11; Transparent:10; TTable:7; TSpeedButton:7; TX:7,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.103.txt,103,26248,208,Top:58; TLabel:13; TabOrder:12; Transparent:10; TMenuItem:9; TX:8; TSpeedButton:7; TStringField:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.104.txt,104,36229,341,Top:114; TabOrder:40; TLabel:39; TMenuItem:14; Transparent:13; TEdit:13; Text:7; TPF0:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.105.txt,105,34721,317,Top:105; TabOrder:37; TLabel:35; Transparent:13; TEdit:13; TMenuItem:12; Text:7; TdE:6,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.106.txt,106,39695,429,Top:130; TabOrder:47; TLabel:34; TPanel:17; TTable:13; TEdit:13; Transparent:12; TStringField:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.107.txt,107,40537,480,Top:150; TabOrder:47; TLabel:46; Transparent:24; TPanel:18; TSpeedButton:17; TEdit:13; TTable:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.108.txt,108,40161,471,Top:147; TabOrder:46; TLabel:45; Transparent:24; TPanel:18; TSpeedButton:17; TEdit:12; TTable:12,nao,nao,sim,nao
LavFacilLan,D:\AtelieProd\MOD\docs\02-arquitetura-legada\layouts-telas\LavFacilLan.tpf0.109.txt,109,32755,336,Top:99; Transparent:24; TabOrder:23; TLabel:23; TPanel:18; TSpeedButton:18; TTable:12; TStringField:12,nao,nao,sim,nao
