Executavel,Form,TableName,DatabaseName,FieldName,DataSource,DataSet,TrechoSQLouTexto,OperacaoInferida,Confianca
LavSoft,,,,,,,and (EXTRACT(MONTH FROM DatNas) =,consulta,baixa-media
LavSoft,,,,,,,And (EXTRACT(MONTH FROM C.DatNas) =,consulta,baixa-media
LavSoft,,,,,,,and (EXTRACT(YEAR FROM DatNas) > 1900),consulta,baixa-media
LavSoft,,,,,,,"From """,consulta,baixa-media
LavSoft,,,,,,,"From """,consulta,baixa-media
LavSoft,,,,,,,"From "":",consulta,baixa-media
LavSoft,,,,,,,"Select * from """,consulta,baixa-media
LavSoft,,,,,,,"Select * from "":",consulta,baixa-media
LavSoft,,,,,,,"SELECT COUNT(CODVEN) AS QUANTIDADE FROM """,consulta,baixa-media
LavSoft,,,,,,,"Select D.CodDef, D.DesDef",consulta,baixa-media
LavSoft,,,,,,,"Select D.CodDef, D.DesDef, DG.CodDef, DG.GruPro",consulta,baixa-media
LavSoft,,,,,,,"Select FP.CodFatPre, FP.DesFatPre",consulta,baixa-media
LavSoft,,,,,,,"Select FP.CodFatPre, FP.DesFatPre, FG.CodFatPre, FG.GruPro, FG.Fator, FG.Promocao",consulta,baixa-media
LavSoft,,,,,,,"Select MA.CodMar, MA.DesMar, MA.Cancelado",consulta,baixa-media
LavSoft,,,,,,,"Select MA.CodMar, MA.DesMar, MA.Cancelado, MG.CodMar, MG.GruPro",consulta,baixa-media
LavSoft,,,,,,,"-Select * From ""C:\Equipexe\Lav\Filial\MovCab""",consulta,baixa-media
LavSoft,,,,,,,",from ""c:\EquipExe\Lav\Filial\movcab"" M,",consulta,baixa-media
LavSoft,,,,,,,",from ""c:\EquipExe\Lav\Filial\NotFis"" N,",consulta,baixa-media
LavSoft,,,,,,,",Select * From 'C:\EquipExe\Ger\Dados\LogSis'",consulta,baixa-media
LavSoft,,,,,,,".select * from ""z:\equipexe\ger\filial\cheque1""",consulta,baixa-media
LavSoft,,,,,,,"'from ""c:\EquipExe\Lav\Filial\Notas""N,",consulta,baixa-media
LavSoft,,,,,,,")from ""c:\EquipExe\Pag\Filial\Titulos"" T",consulta,baixa-media
LavSoft,,,,,,,"*from ""c:\EquipExe\Lav\Filial\MovItem"" I,",consulta,baixa-media
LavSoft,,,,,,,"*from ""c:\EquipExe\Lav\Filial\Notas"" N,",consulta,baixa-media
LavSoft,,,,,,,"*from ""c:\EquipExe\Rec\Filial\Duplicat"" D",consulta,baixa-media
LavSoft,,,,,,,"*Select*From""C:\EquipExe\Lav\Filial\MovCab""",consulta,baixa-media
LavSoft,,,,,,,"/Select * From ""C:\EquipExe\Lav\Dados\TabPro"" T,",consulta,baixa-media
LavSoft,,,,,,,"/Select * from ""C:\EquipExe\Lav\Filial\MovCab"" M",consulta,baixa-media
LavSoft,,,,,,,"0Select * from ""c:\EquipExe\Ger\Dados\Clientes"" C",consulta,baixa-media
LavSoft,,,,,,,"1Select * From 'c:\Equipexe\Lav\Filial\MovItem' I,",consulta,baixa-media
LavSoft,,,,,,,"5Select * From ""c:\EquipExe\Lav\Filial\MovItem"" I,",consulta,baixa-media
LavSoft,,,,,,,"5Select * From ""C:\EquipExe\Rec\Filial\Duplicat.Db"" D,",consulta,baixa-media
LavSoft,,,,,,,Attempt to mix objs from diff ses,consulta,baixa-media
LavSoft,,,,,,,"C.TelCli2 = (SELECT T.TelCli2 from """,consulta,baixa-media
LavSoft,,,,,,,"C.TelCli3 = (SELECT T.TelCli3 from """,consulta,baixa-media
LavSoft,,,,,,,Delete all selected records?,escrita/controle,baixa-media
LavSoft,,,,,,,Delete from ',consulta,baixa-media
LavSoft,,,,,,,"Delete From """,consulta,baixa-media
LavSoft,,,,,,,"digo, NomFor as Fornecedor From """,consulta,baixa-media
LavSoft,,,,,,,"digo, NomFor as Fornecedor From "":",consulta,baixa-media
LavSoft,,,,,,,"Duplicate CardId found""An error returned from DDE ($0%x)/DDE Error - conversation not established ($0%x)0Error occurred when DDE ran out of memory ($0%x)""Unable to connect DDE conversation",consulta,baixa-media
LavSoft,,,,,,,"Edit Report...1Component requires a later version of ReportSmith(Unable to obtain Version details from %s""Unable to load ReportSmith DLL: %s2The requested Reportsmith file '%s' does not exist",consulta,baixa-media
LavSoft,,,,,,,"Filtros - Fecha, Limpa e Coloca Select na Query",consulta,baixa-media
LavSoft,,,,,,,"from "":",consulta,baixa-media
LavSoft,,,,,,,"From """,consulta,baixa-media
LavSoft,,,,,,,"From "":",consulta,baixa-media
LavSoft,,,,,,,"From """,consulta,baixa-media
LavSoft,,,,,,,"from "":",consulta,baixa-media
LavSoft,,,,,,,"From """,consulta,baixa-media
LavSoft,,,,,,,"From "":",consulta,baixa-media
LavSoft,,,,,,,"From """,consulta,baixa-media
LavSoft,,,,,,,"From "":",consulta,baixa-media
LavSoft,,,,,,,"from""",consulta,baixa-media
LavSoft,,,,,,,"Invalid field registration7Field '%s', from the Detail Fields list, must be linked",consulta,baixa-media
LavSoft,,,,,,,"Invalid variant type or size7Must select at least one key field and one update field1Update SQL statements not generated, exit anyway?&Unable to determine field names for %s",consulta,baixa-media
LavSoft,,,,,,,Select,consulta,baixa-media
LavSoft,,,,,,,"Select P.*, I.Rol, M.Rol, I.CodPro, R.CodPro, M.CodPas, P.CodPas,",consulta,baixa-media
LavSoft,,,,,,,"Select (O.Rol)as Entrada, (O.CodCli) as Cliente, O.DatLan,O.DatEnt,O.NumOS, O.RolOrc, O.Cancelado,OI.Rol, (OI.CodPro)as CodPro, OI.SeqPro, OI.Quantidade, OI.CodLoc, (OI.Peso)as PesoEnt,C.CodCli, C.Unidade,C.EndCli,C.NomCli,M.Rol ,(M.DatLan)",consulta,baixa-media
LavSoft,,,,,,,"Select (O.Rol)as Entrada, (O.CodCli) as Cliente, O.DatLan,O.DatEnt,O.NumOS, O.RolOrc, O.Cancelado,OI.Rol, (OI.CodPro)as CodPro, OI.SeqPro, OI.Quantidade, OI.CodLoc, OI.CodCor, (OI.Peso)as PesoEnt,C.CodCli, C.Unidade,C.EndCli,C.NomCli,P.CodP",consulta,baixa-media
LavSoft,,,,,,,Select *,consulta,baixa-media
LavSoft,,,,,,,Select *,consulta,baixa-media
LavSoft,,,,,,,"Select * From """,consulta,baixa-media
LavSoft,,,,,,,"Select * From "":",consulta,baixa-media
LavSoft,,,,,,,Select * From,consulta,baixa-media
LavSoft,,,,,,,Select * From,consulta,baixa-media
LavSoft,,,,,,,"Select * From """,consulta,baixa-media
LavSoft,,,,,,,"Select * From "":",consulta,baixa-media
LavSoft,,,,,,,Select * from ',consulta,baixa-media
LavSoft,,,,,,,"Select * From """,consulta,baixa-media
LavSoft,,,,,,,"Select * From "":",consulta,baixa-media
LavSoft,,,,,,,"Select * From ""C:\EquipExe\Importa\TrocaPro.Dbf""",consulta,baixa-media
LavSoft,,,,,,,Select * from movcab,consulta,baixa-media
LavSoft,,,,,,,select * from MovSaida,consulta,baixa-media
LavSoft,,,,,,,Select a Date,consulta,baixa-media
LavSoft,,,,,,,"Select C.*, extract( day from C.datnas) As DiaAniver,extract( Month from C.datnas) As MesAniver From """,consulta,baixa-media
LavSoft,,,,,,,"Select C.*, extract( day from C.datnas) As DiaAniver,extract( Month from C.datnas) As MesAniver From "":",consulta,baixa-media
LavSoft,,,,,,,"Select C.CodCli,Max(M.DatLan),C.NomCli, C.EndCli, C.TelCli, C.Unidade, C.Contato From """,consulta,baixa-media
LavSoft,,,,,,,"Select C.CodCli,Max(M.DatLan),C.NomCli, C.EndCli, C.TelCli, C.Unidade, C.Contato From "":",consulta,baixa-media
LavSoft,,,,,,,"SELECT C.CodVen , SUM(T.ValTitPag) as ValPag from",consulta,baixa-media
LavSoft,,,,,,,"SELECT C.NomCli ,C.CodCli ,C.DatCad ,AVG(M.ValTot)as MediaPorRol, SUM(M.ValTot)as total,",consulta,baixa-media
LavSoft,,,,,,,"Select CL.DatPas,M.CodPro,CL.CodPas,Count (M.CodPro) as TotPecas",consulta,baixa-media
LavSoft,,,,,,,"SELECT CodCli, Sum(Quant_Real) as Total, AVG(MedLan) as MedLan, NomCli FROM """,consulta,baixa-media
LavSoft,,,,,,,"SELECT CodCli, Sum(Quant_Real) as Total, AVG(MedLan) as MedLan, NomCli FROM "":",consulta,baixa-media
LavSoft,,,,,,,"Select CodFatPre as Codigo, DesFatPre as Descricao",consulta,baixa-media
LavSoft,,,,,,,"SELECT CodFil as Codigo, NomFil as Filial FROM """,consulta,baixa-media
LavSoft,,,,,,,"Select CodFil as Codigo, NomFil as Nome From",consulta,baixa-media
LavSoft,,,,,,,Select CodFor as C,consulta,baixa-media
LavSoft,,,,,,,"Select CodFor as Codigo, NomFor as Nome From",consulta,baixa-media
LavSoft,,,,,,,"Select CodigoTPV as Codigo, DescTPV as Descricao, Obs",consulta,baixa-media
LavSoft,,,,,,,"Select CodPro as Codigo, DesPro as Descricao",consulta,baixa-media
LavSoft,,,,,,,"Select CodPro, Sum(MI.QdeSi) as Quant, Sum(MI.KG) as Peso",consulta,baixa-media
LavSoft,,,,,,,"Select CodPro, Sum(MI.Quantidade) as Quant, Sum(MI.Peso) as Peso",consulta,baixa-media
LavSoft,,,,,,,"Select CodPro,DesPro,Marca,CodCar,CodDef,GruPro,SeqPro,Rol,CodCli,NomCli,CodTipEnt,Identif,DatEnt,CodPas,NomPas,EndPas,CidPas,EstPas,CodCor,Quantidade,TipCom,ValCom,PreFinal,TipoControle,Pontos",consulta,baixa-media
LavSoft,,,,,,,"Select CodPro,DesPro,Marca,CodCar,CodDef,GruPro,SeqPro,Rol,CodCli,NomCli,CodTipEnt,Identif,DatEnt,CodPas,NomPas,EndPas,CidPas,EstPas,CodCor,Quantidade,TipCom,ValCom,PreFinal,TipoControle,Pontos",consulta,baixa-media
LavSoft,,,,,,,"Select CodSerLav as Codigo, DesSerLav as Descricao,SeqPro as Seq From """,consulta,baixa-media
LavSoft,,,,,,,"Select CodSerTer, DatLan From """,consulta,baixa-media
LavSoft,,,,,,,"Select CodTab as Codigo, DesTab as Descricao From",consulta,baixa-media
LavSoft,,,,,,,"Select CodTab,CodPro From """,consulta,baixa-media
LavSoft,,,,,,,"Select CodUsuario as Codigo, NomUsuario as Nome From",consulta,baixa-media
LavSoft,,,,,,,"Select Count(DatEnt) as Total From """,consulta,baixa-media
LavSoft,,,,,,,Select Count(Rol) as TotRol From,consulta,baixa-media
LavSoft,,,,,,,"Select datemi, Sum(faturado) as faturado, Sum(rols) as rols, Sum(pecas) as pecas from",consulta,baixa-media
LavSoft,,,,,,,Select Directory,consulta,baixa-media
LavSoft,,,,,,,"SELECT Distinct(I.CodSerTer) as Terceirizacao, F.NomFor as Fornecedor FROM",consulta,baixa-media
LavSoft,,,,,,,"Select extract( day from C.datnas) As DiaAniver,extract( Month from C.datnas) As MesAniver , C.* From """,consulta,baixa-media
LavSoft,,,,,,,"Select extract( day from C.datnas) As DiaAniver,extract( Month from C.datnas) As MesAniver , C.* From "":",consulta,baixa-media
LavSoft,,,,,,,"Select GruPro as Codigo, DesGruPro as Descricao",consulta,baixa-media
LavSoft,,,,,,,Select GruSerLav As Grupo From,consulta,baixa-media
LavSoft,,,,,,,"Select GruSerLav From """,consulta,baixa-media
LavSoft,,,,,,,"Select I.Rol,I.Quantidade,I.CodPro,I.SeqPro,P.CodPro,G.GruPro,I.PreFinal From """,consulta,baixa-media
LavSoft,,,,,,,"Select I.Rol,I.Quantidade,I.CodPro,I.SeqPro,P.CodPro,T.CodTab,I.PreFinal,M.CodTab,M.Rol From """,consulta,baixa-media
LavSoft,,,,,,,"Select L.CodLoc as Local, L.Rol, p.DesPro as Descri",consulta,baixa-media
LavSoft,,,,,,,"Select M.*,C.* ,V.* ,P.*,T.*, B.CodTipTab, R.CodTipTab, R.CodTab",consulta,baixa-media
LavSoft,,,,,,,"Select M.*,N.*,C.CodCli,C.EndCli,C.NomCli",consulta,baixa-media
LavSoft,,,,,,,"Select M.CodCli,",consulta,baixa-media
LavSoft,,,,,,,"Select M.CodSerTer as Controle, M.DatLan as Data,",consulta,baixa-media
LavSoft,,,,,,,"Select M.ROL, M.CODCLI, M.CODVEN, M.CODTAB, M.CODTIPSER, M.CODTIPENT , M.NUMGR, M.NUMOS, M.DATLAN, M.DATENT, M.VALTOT, M.TOTPECAS, M.POSICAO, M.NUMNOT, M.NUMNOTADI, M.UNIDADE, M.CODUSUARIO, M.DESCONTOROL, M.DESCONTOVALOR, M.CANCELADO, M.HOR",consulta,baixa-media
